Run finished at Wed Oct 21 13:57:32 2020
Global runtime       = 69227ms / 69.227s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      69227 |      69227 |      69227 |      69227 |          1 |
                                                         advance |        301 |      34353 |        415 |         71 |        114 |      0.496 |
                                         advance/m2n.receiveData |        301 |         77 |          1 |          0 |          0 |    0.00111 |
                                            advance/m2n.sendData |        301 |       2046 |         16 |          0 |          6 |     0.0296 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |        310 |        310 |        310 |        310 |    0.00448 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       5229 |         37 |         14 |         17 |     0.0755 |
                                                       configure |          1 |          7 |          7 |          7 |          7 |   0.000101 |
                                                        finalize |          1 |          5 |          5 |          5 |          5 |   7.22e-05 |
                                                      initialize |          1 |        137 |        137 |        137 |        137 |    0.00198 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |          3 |          7 |          2 |          2 |          2 |   0.000101 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         10 |          3 |          3 |          3 |   0.000144 |
                          initialize/m2n.requestMasterConnection |          1 |         89 |         89 |         89 |         89 |    0.00129 |
                          initialize/m2n.requestSlavesConnection |          1 |         19 |         19 |         19 |         19 |   0.000274 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.44e-05 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |         11 |         11 |         11 |         11 |   0.000159 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   4.33e-05 |
                                                  initializeData |          1 |          9 |          9 |          9 |          9 |    0.00013 |
                                                  solver.advance |        301 |      34514 |        165 |         44 |        114 |      0.499 |
                                               solver.initialize |          1 |        161 |        161 |        161 |        161 |    0.00233 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      69227 |          0 |      69227 |          0 |          1 |
                                                         advance |        415 |          0 |         71 |          0 |   0.171084 |
                                         advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |        310 |          0 |        310 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |         37 |          0 |         14 |          0 |   0.378378 |
                                                       configure |          7 |          0 |          7 |          0 |          1 |
                                                        finalize |          5 |          0 |          5 |          0 |          1 |
                                                      initialize |        137 |          0 |        137 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                       initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
                          initialize/m2n.requestMasterConnection |         89 |          0 |         89 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         19 |          0 |         19 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |         11 |          0 |         11 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                                                  initializeData |          9 |          0 |          9 |          0 |          1 |
                                                  solver.advance |        165 |          0 |         44 |          0 |   0.266667 |
                                               solver.initialize |        161 |          0 |        161 |          0 |          1 |
