Run finished at Wed Oct 21 13:57:18 2020
Global runtime       = 48564ms / 48.564s
Number of processors = 1
# Rank: 0

                                                                Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-----------------------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |          1 |      48564 |      48564 |      48564 |      48564 |          1 |
                                                              advance |        301 |      46623 |        358 |         28 |        154 |       0.96 |
                                 advance/cpl.computeQuasiNewtonUpdate |        201 |       5878 |        143 |          0 |         29 |      0.121 |
                                              advance/m2n.receiveData |        300 |      35492 |        343 |         92 |        118 |      0.731 |
                                                 advance/m2n.sendData |        301 |       2451 |         17 |          0 |          8 |     0.0505 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |        300 |        550 |          5 |          0 |          1 |     0.0113 |
                                                            configure |          1 |          2 |          2 |          2 |          2 |   4.12e-05 |
                                                             finalize |          1 |         52 |         52 |         52 |         52 |    0.00107 |
                                                           initialize |          1 |        298 |        298 |        298 |        298 |    0.00614 |
                                initialize/m2n.acceptMasterConnection |          1 |         57 |         57 |         57 |         57 |    0.00117 |
                                initialize/m2n.acceptSlavesConnection |          1 |         24 |         24 |         24 |         24 |   0.000494 |
                          initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                  initialize/m2n.createCommunications |          3 |          7 |          2 |          2 |          2 |   0.000144 |
                            initialize/m2n.exchangeVertexDistribution |          3 |         16 |          8 |          3 |          5 |   0.000329 |
                                           initialize/m2n.receiveData |          1 |        130 |        130 |        130 |        130 |    0.00268 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |          1 |         21 |         21 |         21 |         21 |   0.000432 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          1 |          4 |          4 |          4 |          4 |   8.24e-05 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          1 |          1 |          1 |          1 |   2.06e-05 |
                          initialize/partition.prepareMesh.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |          1 |         12 |         12 |         12 |         12 |   0.000247 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |          6 |          6 |          6 |          6 |   0.000124 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                       solver.advance |        301 |       1541 |         15 |          2 |          5 |     0.0317 |
                                                    solver.initialize |          1 |         26 |         26 |         26 |         26 |   0.000535 |


                                                                 Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
----------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |      48564 |          0 |      48564 |          0 |          1 |
                                                              advance |        358 |          0 |         28 |          0 |  0.0782123 |
                                 advance/cpl.computeQuasiNewtonUpdate |        143 |          0 |          0 |          0 |          0 |
                                              advance/m2n.receiveData |        343 |          0 |         92 |          0 |   0.268222 |
                                                 advance/m2n.sendData |         17 |          0 |          0 |          0 |          0 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          5 |          0 |          0 |          0 |          0 |
                                                            configure |          2 |          0 |          2 |          0 |          1 |
                                                             finalize |         52 |          0 |         52 |          0 |          1 |
                                                           initialize |        298 |          0 |        298 |          0 |          1 |
                                initialize/m2n.acceptMasterConnection |         57 |          0 |         57 |          0 |          1 |
                                initialize/m2n.acceptSlavesConnection |         24 |          0 |         24 |          0 |          1 |
                          initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                  initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                            initialize/m2n.exchangeVertexDistribution |          8 |          0 |          3 |          0 |      0.375 |
                                           initialize/m2n.receiveData |        130 |          0 |        130 |          0 |          1 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |         21 |          0 |         21 |          0 |          1 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          4 |          0 |          4 |          0 |          1 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          0 |          1 |          0 |          1 |
                          initialize/partition.prepareMesh.Solid_mesh |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |         12 |          0 |         12 |          0 |          1 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          6 |          0 |          6 |          0 |          1 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          0 |          0 |          0 |          0 |          0 |
                                                       solver.advance |         15 |          0 |          2 |          0 |   0.133333 |
                                                    solver.initialize |         26 |          0 |         26 |          0 |          1 |
