Run finished at Wed Oct 21 14:00:38 2020
Global runtime       = 52298ms / 52.298s
Number of processors = 1
# Rank: 0

                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |          1 |      52298 |      52298 |      52298 |      52298 |          1 |
                                                            advance |        301 |      15238 |        152 |         26 |         50 |      0.291 |
                                            advance/m2n.receiveData |        301 |        161 |          7 |          0 |          0 |    0.00308 |
                                               advance/m2n.sendData |        301 |       2163 |         15 |          0 |          7 |     0.0414 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         86 |         86 |         86 |         86 |    0.00164 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   5.74e-05 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          1 |          4 |          4 |          4 |          4 |   7.65e-05 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.91e-05 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       3025 |         40 |          2 |         10 |     0.0578 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |          2 |          2 |          2 |          2 |   3.82e-05 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |          1 |         31 |         31 |         31 |         31 |   0.000593 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |          1 |         29 |         29 |         29 |         29 |   0.000555 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |        602 |       2388 |         20 |          0 |          3 |     0.0457 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          1 |          8 |          8 |          8 |          8 |   0.000153 |
                                                          configure |          1 |          8 |          8 |          8 |          8 |   0.000153 |
                                                           finalize |          1 |         17 |         17 |         17 |         17 |   0.000325 |
                                                         initialize |          1 |        143 |        143 |        143 |        143 |    0.00273 |
                        initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          3 |          7 |          2 |          2 |          2 |   0.000134 |
                          initialize/m2n.exchangeVertexDistribution |          3 |         13 |          5 |          3 |          4 |   0.000249 |
                             initialize/m2n.requestMasterConnection |          1 |          7 |          7 |          7 |          7 |   0.000134 |
                             initialize/m2n.requestSlavesConnection |          1 |         23 |         23 |         23 |         23 |    0.00044 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |         12 |         12 |         12 |         12 |   0.000229 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   5.74e-05 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          2 |          2 |          2 |          2 |   3.82e-05 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |         44 |         44 |         44 |         44 |   0.000841 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |         14 |         14 |         14 |         14 |   0.000268 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   5.74e-05 |
                                                     initializeData |          1 |          5 |          5 |          5 |          5 |   9.56e-05 |
                                                     solver.advance |        301 |      36658 |        439 |         90 |        121 |      0.701 |
                                                  solver.initialize |          1 |        182 |        182 |        182 |        182 |    0.00348 |


                                                               Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |      52298 |          0 |      52298 |          0 |          1 |
                                                            advance |        152 |          0 |         26 |          0 |   0.171053 |
                                            advance/m2n.receiveData |          7 |          0 |          0 |          0 |          0 |
                                               advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         86 |          0 |         86 |          0 |          1 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          4 |          0 |          4 |          0 |          1 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |         40 |          0 |          2 |          0 |       0.05 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          2 |          0 |          2 |          0 |          1 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |         31 |          0 |         31 |          0 |          1 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |         29 |          0 |         29 |          0 |          1 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |         20 |          0 |          0 |          0 |          0 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          8 |          0 |          8 |          0 |          1 |
                                                          configure |          8 |          0 |          8 |          0 |          1 |
                                                           finalize |         17 |          0 |         17 |          0 |          1 |
                                                         initialize |        143 |          0 |        143 |          0 |          1 |
                        initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                          initialize/m2n.exchangeVertexDistribution |          5 |          0 |          3 |          0 |        0.6 |
                             initialize/m2n.requestMasterConnection |          7 |          0 |          7 |          0 |          1 |
                             initialize/m2n.requestSlavesConnection |         23 |          0 |         23 |          0 |          1 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |         12 |          0 |         12 |          0 |          1 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          2 |          0 |          2 |          0 |          1 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |         44 |          0 |         44 |          0 |          1 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |         14 |          0 |         14 |          0 |          1 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                                                     initializeData |          5 |          0 |          5 |          0 |          1 |
                                                     solver.advance |        439 |          0 |         90 |          0 |   0.205011 |
                                                  solver.initialize |        182 |          0 |        182 |          0 |          1 |
