Run finished at Wed Oct 21 14:24:57 2020
Global runtime       = 80230ms / 80.23s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      80230 |      80230 |      80230 |      80230 |          1 |
                                                                                  advance |        846 |      50693 |         97 |          4 |         59 |      0.632 |
                                                                  advance/m2n.receiveData |        846 |        409 |          1 |          0 |          0 |     0.0051 |
                                                                     advance/m2n.sendData |        846 |       6995 |         16 |          0 |          8 |     0.0872 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |        846 |        115 |          0 |          0 |          0 |    0.00143 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |        846 |        106 |          0 |          0 |          0 |    0.00132 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |         19 |         19 |         19 |         19 |   0.000237 |
                                                                               initialize |          1 |         13 |         13 |         13 |         13 |   0.000162 |
                                              initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          1 |          4 |          4 |          4 |          4 |   4.99e-05 |
                                                initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.49e-05 |
                                                   initialize/m2n.requestMasterConnection |          1 |          2 |          2 |          2 |          2 |   2.49e-05 |
                                                   initialize/m2n.requestSlavesConnection |          1 |          7 |          7 |          7 |          7 |   8.72e-05 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          2 |          2 |          2 |          2 |   2.49e-05 |
                                                                           initializeData |          1 |          8 |          8 |          8 |          8 |   9.97e-05 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |          3 |          3 |          3 |          3 |   3.74e-05 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          2 |          2 |          2 |          2 |   2.49e-05 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        846 |      29375 |         46 |          2 |         34 |      0.366 |
                                                                        solver.initialize |          1 |         35 |         35 |         35 |         35 |   0.000436 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      80230 |          0 |      80230 |          0 |          1 |
                                                                                  advance |         97 |          0 |          4 |          0 |  0.0412371 |
                                                                  advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |         19 |          0 |         19 |          0 |          1 |
                                                                               initialize |         13 |          0 |         13 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          4 |          0 |          4 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          2 |          0 |          2 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |          7 |          0 |          7 |          0 |          1 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          2 |          0 |          2 |          0 |          1 |
                                                                           initializeData |          8 |          0 |          8 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          3 |          0 |          3 |          0 |          1 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          2 |          0 |          2 |          0 |          1 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         46 |          0 |          2 |          0 |  0.0434783 |
                                                                        solver.initialize |         35 |          0 |         35 |          0 |          1 |
