Run finished at Wed Oct 21 14:24:57 2020
Global runtime       = 81046ms / 81.046s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      81046 |      81046 |      81046 |      81046 |          1 |
                                             advance |        846 |      79403 |        123 |         20 |         93 |       0.98 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      44432 |         91 |          0 |         59 |      0.548 |
                             advance/m2n.receiveData |        845 |      24636 |         45 |         22 |         29 |      0.304 |
                                advance/m2n.sendData |        846 |       6965 |         14 |          0 |          8 |     0.0859 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          5 |          5 |          5 |          5 |   6.17e-05 |
                                          initialize |          1 |        839 |        839 |        839 |        839 |     0.0104 |
               initialize/m2n.acceptMasterConnection |          1 |        827 |        827 |        827 |        827 |     0.0102 |
               initialize/m2n.acceptSlavesConnection |          1 |          8 |          8 |          8 |          8 |   9.87e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          4 |          4 |          4 |          4 |   4.94e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          3 |          3 |          3 |          3 |    3.7e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         43 |         43 |         43 |         43 |   0.000531 |
                      initializeData/m2n.receiveData |          1 |         41 |         41 |         41 |         41 |   0.000506 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        693 |          1 |          0 |          0 |    0.00855 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |    3.7e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      81046 |          0 |      81046 |          0 |          1 |
                                             advance |        123 |          0 |         20 |          0 |   0.162602 |
                advance/cpl.computeQuasiNewtonUpdate |         91 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         45 |          0 |         22 |          0 |   0.488889 |
                                advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          5 |          0 |          5 |          0 |          1 |
                                          initialize |        839 |          0 |        839 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        827 |          0 |        827 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          8 |          0 |          8 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          4 |          0 |          4 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         43 |          0 |         43 |          0 |          1 |
                      initializeData/m2n.receiveData |         41 |          0 |         41 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          1 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
