Run finished at Wed Oct 21 14:31:29 2020
Global runtime       = 12937ms / 12.937s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      12937 |      12937 |      12937 |      12937 |          1 |
                                                                                  advance |        305 |      11161 |         43 |          3 |         36 |      0.863 |
                                                                  advance/m2n.receiveData |        305 |       1744 |         12 |          0 |          5 |      0.135 |
                                                                     advance/m2n.sendData |        305 |         53 |          0 |          0 |          0 |     0.0041 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |        305 |         11 |          0 |          0 |          0 |    0.00085 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |          5 |          5 |          5 |          5 |   0.000386 |
                                                                               initialize |          1 |         23 |         23 |         23 |         23 |    0.00178 |
                                              initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   0.000386 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          6 |          3 |          2 |          3 |   0.000464 |
                                                   initialize/m2n.requestMasterConnection |          1 |          4 |          4 |          4 |          4 |   0.000309 |
                                                   initialize/m2n.requestSlavesConnection |          1 |         12 |         12 |         12 |         12 |   0.000928 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          2 |          2 |          2 |          2 |   0.000155 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          1 |          7 |          7 |          7 |          7 |   0.000541 |
                                                           initializeData/m2n.receiveData |          1 |          1 |          1 |          1 |          1 |   7.73e-05 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          3 |          3 |          3 |          3 |   0.000232 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        305 |       1717 |         12 |          1 |          5 |      0.133 |
                                                                        solver.initialize |          1 |          7 |          7 |          7 |          7 |   0.000541 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      12937 |          0 |      12937 |          0 |          1 |
                                                                                  advance |         43 |          0 |          3 |          0 |  0.0697674 |
                                                                  advance/m2n.receiveData |         12 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          5 |          0 |          5 |          0 |          1 |
                                                                               initialize |         23 |          0 |         23 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          3 |          0 |          2 |          0 |   0.666667 |
                                                   initialize/m2n.requestMasterConnection |          4 |          0 |          4 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |         12 |          0 |         12 |          0 |          1 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          2 |          0 |          2 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          7 |          0 |          7 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          1 |          0 |          1 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          3 |          0 |          3 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         12 |          0 |          1 |          0 |  0.0833333 |
                                                                        solver.initialize |          7 |          0 |          7 |          0 |          1 |
