Run finished at Wed Oct 21 21:34:33 2020
Global runtime       = 143883ms / 143.883s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     143883 |     143883 |     143883 |     143883 |          1 |
                                                                       advance |        195 |       9686 |         94 |          6 |         49 |     0.0673 |
                                                       advance/m2n.receiveData |        195 |         46 |          2 |          0 |          0 |    0.00032 |
                                                          advance/m2n.sendData |        195 |       1110 |         16 |          0 |          5 |    0.00771 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          3 |          3 |          3 |          3 |   2.09e-05 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          5 |          5 |          5 |          5 |   3.48e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   6.95e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         15 |          0 |          0 |          0 |   0.000104 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         13 |          0 |          0 |          0 |   9.04e-05 |
                                                                     configure |          1 |          2 |          2 |          2 |          2 |   1.39e-05 |
                                                                      finalize |          1 |         17 |         17 |         17 |         17 |   0.000118 |
                                                                    initialize |          1 |         28 |         28 |         28 |         28 |   0.000195 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |         12 |         12 |         12 |         12 |   8.34e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |          6 |          6 |          6 |          6 |   4.17e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          2 |          2 |          2 |          2 |   1.39e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |         20 |         20 |         20 |         20 |   0.000139 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          1 |          1 |          1 |          1 |   6.95e-06 |
                                                                solver.advance |        195 |     133824 |       1582 |         22 |        686 |       0.93 |
                                                             solver.initialize |          1 |        299 |        299 |        299 |        299 |    0.00208 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     143883 |          0 |     143883 |          0 |          1 |
                                                                       advance |         94 |          0 |          6 |          0 |  0.0638298 |
                                                       advance/m2n.receiveData |          2 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          3 |          0 |          3 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          5 |          0 |          5 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          2 |          0 |          2 |          0 |          1 |
                                                                      finalize |         17 |          0 |         17 |          0 |          1 |
                                                                    initialize |         28 |          0 |         28 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |         12 |          0 |         12 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |          6 |          0 |          6 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          2 |          0 |          2 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         20 |          0 |         20 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          0 |          1 |          0 |          1 |
                                                                solver.advance |       1582 |          0 |         22 |          0 |  0.0139064 |
                                                             solver.initialize |        299 |          0 |        299 |          0 |          1 |
