Run finished at Wed Oct 21 21:33:14 2020
Global runtime       = 61054ms / 61.054s
Number of processors = 1
# Rank: 0

                                                                       Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |          1 |      61054 |      61054 |      61054 |      61054 |          1 |
                                                                     advance |        302 |       4645 |         35 |          5 |         15 |     0.0761 |
                                                     advance/m2n.receiveData |        302 |        179 |         10 |          0 |          0 |    0.00293 |
                                                        advance/m2n.sendData |        302 |       2603 |         14 |          0 |          8 |     0.0426 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          1 |          5 |          5 |          5 |          5 |   8.19e-05 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |        302 |         24 |          1 |          0 |          0 |   0.000393 |
                                                                   configure |          1 |          1 |          1 |          1 |          1 |   1.64e-05 |
                                                                    finalize |          1 |          3 |          3 |          3 |          3 |   4.91e-05 |
                                                                  initialize |          1 |        756 |        756 |        756 |        756 |     0.0124 |
                                 initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          2 |          6 |          4 |          2 |          3 |   9.83e-05 |
                                   initialize/m2n.exchangeVertexDistribution |          2 |          7 |          3 |          3 |          3 |   0.000115 |
                                      initialize/m2n.requestMasterConnection |          1 |        734 |        734 |        734 |        734 |      0.012 |
                                      initialize/m2n.requestSlavesConnection |          1 |         15 |         15 |         15 |         15 |   0.000246 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |          1 |          1 |          1 |          1 |   1.64e-05 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                              initializeData |          1 |          1 |          1 |          1 |          1 |   1.64e-05 |
                                                              solver.advance |        302 |      55474 |        377 |         55 |        183 |      0.909 |
                                                           solver.initialize |          1 |        127 |        127 |        127 |        127 |    0.00208 |


                                                                        Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |      61054 |          0 |      61054 |          0 |          1 |
                                                                     advance |         35 |          0 |          5 |          0 |   0.142857 |
                                                     advance/m2n.receiveData |         10 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          5 |          0 |          5 |          0 |          1 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |          1 |          0 |          0 |          0 |          0 |
                                                                   configure |          1 |          0 |          1 |          0 |          1 |
                                                                    finalize |          3 |          0 |          3 |          0 |          1 |
                                                                  initialize |        756 |          0 |        756 |          0 |          1 |
                                 initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          4 |          0 |          2 |          0 |        0.5 |
                                   initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
                                      initialize/m2n.requestMasterConnection |        734 |          0 |        734 |          0 |          1 |
                                      initialize/m2n.requestSlavesConnection |         15 |          0 |         15 |          0 |          1 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |          0 |          1 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                              initializeData |          1 |          0 |          1 |          0 |          1 |
                                                              solver.advance |        377 |          0 |         55 |          0 |   0.145889 |
                                                           solver.initialize |        127 |          0 |        127 |          0 |          1 |
