Run finished at Wed Oct 21 21:33:14 2020
Global runtime       = 60321ms / 60.321s
Number of processors = 1
# Rank: 0

                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |          1 |      60321 |      60321 |      60321 |      60321 |          1 |
                                                                        advance |        302 |      59013 |        390 |          8 |        195 |      0.978 |
                                           advance/cpl.computeQuasiNewtonUpdate |        202 |        632 |         17 |          0 |          3 |     0.0105 |
                                                        advance/m2n.receiveData |        301 |      56220 |        378 |        142 |        186 |      0.932 |
                                                           advance/m2n.sendData |        302 |        467 |         14 |          0 |          1 |    0.00774 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |        301 |         15 |          0 |          0 |          0 |   0.000249 |
                                                                      configure |          1 |          1 |          1 |          1 |          1 |   1.66e-05 |
                                                                       finalize |          1 |         66 |         66 |         66 |         66 |    0.00109 |
                                                                     initialize |          1 |        157 |        157 |        157 |        157 |     0.0026 |
                                          initialize/m2n.acceptMasterConnection |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                                          initialize/m2n.acceptSlavesConnection |          1 |         15 |         15 |         15 |         15 |   0.000249 |
                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   8.29e-05 |
                                      initialize/m2n.exchangeVertexDistribution |          2 |          8 |          5 |          3 |          4 |   0.000133 |
                                                     initialize/m2n.receiveData |          1 |        125 |        125 |        125 |        125 |    0.00207 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          1 |          4 |          4 |          4 |          4 |   6.63e-05 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   1.66e-05 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          1 |          2 |          2 |          2 |          2 |   3.32e-05 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData |          1 |          1 |          1 |          1 |          1 |   1.66e-05 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |        302 |       1057 |         10 |          1 |          3 |     0.0175 |
                                                              solver.initialize |          1 |          4 |          4 |          4 |          4 |   6.63e-05 |


                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |      60321 |          0 |      60321 |          0 |          1 |
                                                                        advance |        390 |          0 |          8 |          0 |  0.0205128 |
                                           advance/cpl.computeQuasiNewtonUpdate |         17 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.receiveData |        378 |          0 |        142 |          0 |   0.375661 |
                                                           advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                      configure |          1 |          0 |          1 |          0 |          1 |
                                                                       finalize |         66 |          0 |         66 |          0 |          1 |
                                                                     initialize |        157 |          0 |        157 |          0 |          1 |
                                          initialize/m2n.acceptMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                          initialize/m2n.acceptSlavesConnection |         15 |          0 |         15 |          0 |          1 |
                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                      initialize/m2n.exchangeVertexDistribution |          5 |          0 |          3 |          0 |        0.6 |
                                                     initialize/m2n.receiveData |        125 |          0 |        125 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          4 |          0 |          4 |          0 |          1 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          2 |          0 |          2 |          0 |          1 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData |          1 |          0 |          1 |          0 |          1 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |         10 |          0 |          1 |          0 |        0.1 |
                                                              solver.initialize |          4 |          0 |          4 |          0 |          1 |
