Run finished at Wed Oct 21 21:49:45 2020
Global runtime       = 68473ms / 68.473s
Number of processors = 1
# Rank: 0

                                                                Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-----------------------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |          1 |      68473 |      68473 |      68473 |      68473 |          1 |
                                                              advance |        301 |      54261 |        435 |         23 |        180 |      0.792 |
                                 advance/cpl.computeQuasiNewtonUpdate |        201 |       9766 |         81 |          1 |         48 |      0.143 |
                                              advance/m2n.receiveData |        300 |      39583 |        426 |        104 |        131 |      0.578 |
                                                 advance/m2n.sendData |        301 |        738 |         14 |          0 |          2 |     0.0108 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |        300 |        896 |          7 |          1 |          2 |     0.0131 |
                                                            configure |          1 |          1 |          1 |          1 |          1 |   1.46e-05 |
                                                             finalize |          1 |         54 |         54 |         54 |         54 |   0.000789 |
                                                           initialize |          1 |        248 |        248 |        248 |        248 |    0.00362 |
                                initialize/m2n.acceptMasterConnection |          1 |          4 |          4 |          4 |          4 |   5.84e-05 |
                                initialize/m2n.acceptSlavesConnection |          1 |         26 |         26 |         26 |         26 |    0.00038 |
                          initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                  initialize/m2n.createCommunications |          3 |          8 |          3 |          2 |          2 |   0.000117 |
                            initialize/m2n.exchangeVertexDistribution |          3 |         17 |          8 |          4 |          5 |   0.000248 |
                                           initialize/m2n.receiveData |          1 |        139 |        139 |        139 |        139 |    0.00203 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |          1 |         30 |         30 |         30 |         30 |   0.000438 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          1 |          5 |          5 |          5 |          5 |    7.3e-05 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          1 |          1 |          1 |          1 |   1.46e-05 |
                          initialize/partition.prepareMesh.Solid_mesh |          1 |          5 |          5 |          5 |          5 |    7.3e-05 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |          1 |          7 |          7 |          7 |          7 |   0.000102 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          1 |          3 |          3 |          3 |          3 |   4.38e-05 |
                                                       solver.advance |        301 |      13690 |         79 |         31 |         45 |        0.2 |
                                                    solver.initialize |          1 |        187 |        187 |        187 |        187 |    0.00273 |


                                                                 Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
----------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |      68473 |          0 |      68473 |          0 |          1 |
                                                              advance |        435 |          0 |         23 |          0 |  0.0528736 |
                                 advance/cpl.computeQuasiNewtonUpdate |         81 |          0 |          1 |          0 |  0.0123457 |
                                              advance/m2n.receiveData |        426 |          0 |        104 |          0 |   0.244131 |
                                                 advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          7 |          0 |          1 |          0 |   0.142857 |
                                                            configure |          1 |          0 |          1 |          0 |          1 |
                                                             finalize |         54 |          0 |         54 |          0 |          1 |
                                                           initialize |        248 |          0 |        248 |          0 |          1 |
                                initialize/m2n.acceptMasterConnection |          4 |          0 |          4 |          0 |          1 |
                                initialize/m2n.acceptSlavesConnection |         26 |          0 |         26 |          0 |          1 |
                          initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                  initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                            initialize/m2n.exchangeVertexDistribution |          8 |          0 |          4 |          0 |        0.5 |
                                           initialize/m2n.receiveData |        139 |          0 |        139 |          0 |          1 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |         30 |          0 |         30 |          0 |          1 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          5 |          0 |          5 |          0 |          1 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          0 |          1 |          0 |          1 |
                          initialize/partition.prepareMesh.Solid_mesh |          5 |          0 |          5 |          0 |          1 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |          7 |          0 |          7 |          0 |          1 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          3 |          0 |          3 |          0 |          1 |
                                                       solver.advance |         79 |          0 |         31 |          0 |   0.392405 |
                                                    solver.initialize |        187 |          0 |        187 |          0 |          1 |
