Run finished at Wed Oct 21 22:00:03 2020
Global runtime       = 122983ms / 122.983s
Number of processors = 1
# Rank: 0

                                                                                 Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |          1 |     122983 |     122983 |     122983 |     122983 |          1 |
                                                                               advance |        204 |      36449 |        258 |         48 |        178 |      0.296 |
                                                               advance/m2n.receiveData |        203 |      32432 |        235 |        141 |        159 |      0.264 |
                                                                  advance/m2n.sendData |        204 |       2409 |         29 |          0 |         11 |     0.0196 |
                       advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh |          1 |         16 |         16 |         16 |         16 |    0.00013 |
    advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   1.63e-05 |
                              advance/map.nn.mapData.FromNutils-Mesh-CCToOpenFOAM-Mesh |        204 |         17 |          0 |          0 |          0 |   0.000138 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |        203 |         12 |          0 |          0 |          0 |   9.76e-05 |
                                                                             configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          1 |          4 |          4 |          4 |          4 |   3.25e-05 |
                                                                            initialize |          1 |        262 |        262 |        262 |        262 |    0.00213 |
                                                 initialize/m2n.acceptMasterConnection |          1 |          3 |          3 |          3 |          3 |   2.44e-05 |
                                                 initialize/m2n.acceptSlavesConnection |          1 |          8 |          8 |          8 |          8 |    6.5e-05 |
                                           initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   1.63e-05 |
                                             initialize/m2n.exchangeVertexDistribution |          1 |          5 |          5 |          5 |          5 |   4.07e-05 |
                                                            initialize/m2n.receiveData |          1 |        224 |        224 |        224 |        224 |    0.00182 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP |          1 |          2 |          2 |          2 |          2 |   1.63e-05 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-CC |          1 |          1 |          1 |          1 |          1 |   8.13e-06 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-GP |          1 |          1 |          1 |          1 |          1 |   8.13e-06 |
                                  initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          1 |          9 |          9 |          9 |          9 |   7.32e-05 |
                                                                        solver.advance |        204 |      85517 |        776 |         79 |        419 |      0.695 |
                                                                     solver.initialize |          1 |        731 |        731 |        731 |        731 |    0.00594 |


                                                                                  Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |     122983 |          0 |     122983 |          0 |          1 |
                                                                               advance |        258 |          0 |         48 |          0 |   0.186047 |
                                                               advance/m2n.receiveData |        235 |          0 |        141 |          0 |        0.6 |
                                                                  advance/m2n.sendData |         29 |          0 |          0 |          0 |          0 |
                       advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh |         16 |          0 |         16 |          0 |          1 |
    advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                              advance/map.nn.mapData.FromNutils-Mesh-CCToOpenFOAM-Mesh |          0 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          0 |          0 |          0 |          0 |          0 |
                                                                             configure |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          4 |          0 |          4 |          0 |          1 |
                                                                            initialize |        262 |          0 |        262 |          0 |          1 |
                                                 initialize/m2n.acceptMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                                 initialize/m2n.acceptSlavesConnection |          8 |          0 |          8 |          0 |          1 |
                                           initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                             initialize/m2n.exchangeVertexDistribution |          5 |          0 |          5 |          0 |          1 |
                                                            initialize/m2n.receiveData |        224 |          0 |        224 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP |          2 |          0 |          2 |          0 |          1 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-CC |          1 |          0 |          1 |          0 |          1 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-GP |          1 |          0 |          1 |          0 |          1 |
                                  initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          9 |          0 |          9 |          0 |          1 |
                                                                        solver.advance |        776 |          0 |         79 |          0 |   0.101804 |
                                                                     solver.initialize |        731 |          0 |        731 |          0 |          1 |
