Run finished at Wed Oct 21 22:04:32 2020
Global runtime       = 75779ms / 75.779s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      75779 |      75779 |      75779 |      75779 |          1 |
                                                                                  advance |        846 |      47670 |         93 |          4 |         56 |      0.629 |
                                                                  advance/m2n.receiveData |        846 |        289 |          0 |          0 |          0 |    0.00381 |
                                                                     advance/m2n.sendData |        846 |       7172 |         15 |          0 |          8 |     0.0946 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |        846 |         97 |          0 |          0 |          0 |    0.00128 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |        846 |         94 |          1 |          0 |          0 |    0.00124 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |         12 |         12 |         12 |         12 |   0.000158 |
                                                                               initialize |          1 |         52 |         52 |         52 |         52 |   0.000686 |
                                              initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          1 |         33 |         33 |         33 |         33 |   0.000435 |
                                                initialize/m2n.exchangeVertexDistribution |          1 |         10 |         10 |         10 |         10 |   0.000132 |
                                                   initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   1.32e-05 |
                                                   initialize/m2n.requestSlavesConnection |          1 |         43 |         43 |         43 |         43 |   0.000567 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          3 |          3 |          3 |          3 |   3.96e-05 |
                                                                           initializeData |          1 |         19 |         19 |         19 |         19 |   0.000251 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |         10 |         10 |         10 |         10 |   0.000132 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          5 |          5 |          5 |          5 |    6.6e-05 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        846 |      27896 |         39 |          1 |         32 |      0.368 |
                                                                        solver.initialize |          1 |         73 |         73 |         73 |         73 |   0.000963 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      75779 |          0 |      75779 |          0 |          1 |
                                                                                  advance |         93 |          0 |          4 |          0 |  0.0430108 |
                                                                  advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |         12 |          0 |         12 |          0 |          1 |
                                                                               initialize |         52 |          0 |         52 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |         33 |          0 |         33 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |         10 |          0 |         10 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |         43 |          0 |         43 |          0 |          1 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          3 |          0 |          3 |          0 |          1 |
                                                                           initializeData |         19 |          0 |         19 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |         10 |          0 |         10 |          0 |          1 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          5 |          0 |          5 |          0 |          1 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         39 |          0 |          1 |          0 |   0.025641 |
                                                                        solver.initialize |         73 |          0 |         73 |          0 |          1 |
