Run finished at Wed Oct 21 22:10:19 2020
Global runtime       = 12953ms / 12.953s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      12953 |      12953 |      12953 |      12953 |          1 |
                                                                                  advance |        305 |      12781 |         45 |          3 |         41 |      0.987 |
                                                     advance/cpl.computeQuasiNewtonUpdate |        205 |       1098 |         13 |          0 |          5 |     0.0848 |
                                                                  advance/m2n.receiveData |        304 |      10900 |         40 |          3 |         35 |      0.842 |
                                                                     advance/m2n.sendData |        305 |         51 |          0 |          0 |          0 |    0.00394 |
                                  advance/map.nn.mapData.FromFluid_NodesToStructure_Nodes |        304 |         11 |          0 |          0 |          0 |   0.000849 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |         21 |         21 |         21 |         21 |    0.00162 |
                                                                               initialize |          1 |         25 |         25 |         25 |         25 |    0.00193 |
                                                    initialize/m2n.acceptMasterConnection |          1 |          3 |          3 |          3 |          3 |   0.000232 |
                                                    initialize/m2n.acceptSlavesConnection |          1 |         14 |         14 |         14 |         14 |    0.00108 |
                                              initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   0.000386 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          7 |          4 |          3 |          3 |    0.00054 |
                                          initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                         initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid_Nodes |          1 |          1 |          1 |          1 |          1 |   7.72e-05 |
                                      initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          1 |         18 |         18 |         18 |         18 |    0.00139 |
                                                           initializeData/m2n.receiveData |          1 |         11 |         11 |         11 |         11 |   0.000849 |
                                                              initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |          4 |          4 |          4 |          4 |   0.000309 |
 initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        305 |         95 |          1 |          0 |          0 |    0.00733 |
                                                                        solver.initialize |          1 |          3 |          3 |          3 |          3 |   0.000232 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      12953 |          0 |      12953 |          0 |          1 |
                                                                                  advance |         45 |          0 |          3 |          0 |  0.0666667 |
                                                     advance/cpl.computeQuasiNewtonUpdate |         13 |          0 |          0 |          0 |          0 |
                                                                  advance/m2n.receiveData |         40 |          0 |          3 |          0 |      0.075 |
                                                                     advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |         21 |          0 |         21 |          0 |          1 |
                                                                               initialize |         25 |          0 |         25 |          0 |          1 |
                                                    initialize/m2n.acceptMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                                    initialize/m2n.acceptSlavesConnection |         14 |          0 |         14 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                                          initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                         initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid_Nodes |          1 |          0 |          1 |          0 |          1 |
                                      initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |         18 |          0 |         18 |          0 |          1 |
                                                           initializeData/m2n.receiveData |         11 |          0 |         11 |          0 |          1 |
                                                              initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes |          4 |          0 |          4 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |          1 |          0 |          0 |          0 |          0 |
                                                                        solver.initialize |          3 |          0 |          3 |          0 |          1 |
