Run finished at Thu Oct 22 09:06:40 2020
Global runtime       = 635998ms / 635.998s
Number of processors = 1
# Rank: 0

                                                                                                  Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |          1 |     635997 |     635997 |     635997 |     635997 |          1 |
                                                                                                advance |          1 |        794 |        794 |        794 |        794 |    0.00125 |
                                                                                advance/m2n.receiveData |          2 |          1 |          0 |          0 |          0 |   1.57e-06 |
                                                                                   advance/m2n.sendData |          2 |          5 |          2 |          2 |          2 |   7.86e-06 |
                                  advance/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          2 |         14 |          7 |          6 |          7 |    2.2e-05 |
                                                                                              configure |          1 |          3 |          3 |          3 |          3 |   4.72e-06 |
                                                                                               finalize |          1 |       9875 |       9875 |       9875 |       9875 |     0.0155 |
                                                                                             initialize |          1 |     601703 |     601703 |     601703 |     601703 |      0.946 |
                                                                  initialize/m2n.acceptMasterConnection |          1 |       1589 |       1589 |       1589 |       1589 |     0.0025 |
                                                                  initialize/m2n.acceptSlavesConnection |          1 |        220 |        220 |        220 |        220 |   0.000346 |
                                                            initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |          2 |         53 |         36 |         16 |         26 |   8.33e-05 |
                                                                    initialize/m2n.createCommunications |          2 |          9 |          5 |          3 |          4 |   1.42e-05 |
                                                              initialize/m2n.exchangeVertexDistribution |          2 |        157 |        152 |          4 |         78 |   0.000247 |
                                                   initialize/partition.gatherMesh.Inner-Fluid-to-Solid |          1 |         70 |         70 |         70 |         70 |    0.00011 |
                                                  initialize/partition.prepareMesh.Inner-Fluid-to-Solid |          1 |         12 |         12 |         12 |         12 |   1.89e-05 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Inner-Fluid |          1 |        406 |        406 |        406 |        406 |   0.000638 |
                                               initialize/partition.sendGlobalMesh.Inner-Fluid-to-Solid |          1 |     599332 |     599332 |     599332 |     599332 |      0.942 |
                                                                                         initializeData |          1 |       6475 |       6475 |       6475 |       6475 |     0.0102 |
                                                                         initializeData/m2n.receiveData |          2 |        137 |        136 |          0 |         68 |   0.000215 |
                                                                            initializeData/m2n.sendData |          2 |          3 |          2 |          1 |          1 |   4.72e-06 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          1 |       5478 |       5478 |       5478 |       5478 |    0.00861 |
 initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid.getIndexOnVertices |          1 |        124 |        124 |        124 |        124 |   0.000195 |
                           initializeData/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          2 |         19 |         13 |          5 |          9 |   2.99e-05 |
                                                                                         solver.advance |          1 |         10 |         10 |         10 |         10 |   1.57e-05 |
                                                                                      solver.initialize |          1 |      17139 |      17139 |      17139 |      17139 |     0.0269 |


                                                                                                   Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |     635997 |          0 |     635997 |          0 |          1 |
                                                                                                advance |        794 |          0 |        794 |          0 |          1 |
                                                                                advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                                   advance/m2n.sendData |          2 |          0 |          2 |          0 |          1 |
                                  advance/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          7 |          0 |          6 |          0 |   0.857143 |
                                                                                              configure |          3 |          0 |          3 |          0 |          1 |
                                                                                               finalize |       9875 |          0 |       9875 |          0 |          1 |
                                                                                             initialize |     601703 |          0 |     601703 |          0 |          1 |
                                                                  initialize/m2n.acceptMasterConnection |       1589 |          0 |       1589 |          0 |          1 |
                                                                  initialize/m2n.acceptSlavesConnection |        220 |          0 |        220 |          0 |          1 |
                                                            initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |         36 |          0 |         16 |          0 |   0.444444 |
                                                                    initialize/m2n.createCommunications |          5 |          0 |          3 |          0 |        0.6 |
                                                              initialize/m2n.exchangeVertexDistribution |        152 |          0 |          4 |          0 |  0.0263158 |
                                                   initialize/partition.gatherMesh.Inner-Fluid-to-Solid |         70 |          0 |         70 |          0 |          1 |
                                                  initialize/partition.prepareMesh.Inner-Fluid-to-Solid |         12 |          0 |         12 |          0 |          1 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Inner-Fluid |        406 |          0 |        406 |          0 |          1 |
                                               initialize/partition.sendGlobalMesh.Inner-Fluid-to-Solid |     599332 |          0 |     599332 |          0 |          1 |
                                                                                         initializeData |       6475 |          0 |       6475 |          0 |          1 |
                                                                         initializeData/m2n.receiveData |        136 |          0 |          0 |          0 |          0 |
                                                                            initializeData/m2n.sendData |          2 |          0 |          1 |          0 |        0.5 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |       5478 |          0 |       5478 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid.getIndexOnVertices |        124 |          0 |        124 |          0 |          1 |
                           initializeData/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |         13 |          0 |          5 |          0 |   0.384615 |
                                                                                         solver.advance |         10 |          0 |         10 |          0 |          1 |
                                                                                      solver.initialize |      17139 |          0 |      17139 |          0 |          1 |
