Run finished at Thu Oct 22 09:06:40 2020
Global runtime       = 35090ms / 35.09s
Number of processors = 1
# Rank: 0

                                                                                                  Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |          1 |      35090 |      35090 |      35090 |      35090 |          1 |
                                                                                                advance |          1 |        949 |        949 |        949 |        949 |      0.027 |
                                                                                advance/m2n.receiveData |          2 |          1 |          0 |          0 |          0 |   2.85e-05 |
                                                                                   advance/m2n.sendData |          2 |          5 |          2 |          2 |          2 |   0.000142 |
                                  advance/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          2 |         18 |          9 |          9 |          9 |   0.000513 |
                                                                                              configure |          1 |          2 |          2 |          2 |          2 |    5.7e-05 |
                                                                                               finalize |          1 |       1847 |       1847 |       1847 |       1847 |     0.0526 |
                                                                                             initialize |          1 |        846 |        846 |        846 |        846 |     0.0241 |
                                                                  initialize/m2n.acceptMasterConnection |          1 |         11 |         11 |         11 |         11 |   0.000313 |
                                                                  initialize/m2n.acceptSlavesConnection |          1 |        200 |        200 |        200 |        200 |     0.0057 |
                                                            initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |          2 |         85 |         55 |         29 |         42 |    0.00242 |
                                                                    initialize/m2n.createCommunications |          2 |          7 |          5 |          2 |          3 |   0.000199 |
                                                              initialize/m2n.exchangeVertexDistribution |          2 |        106 |        102 |          4 |         53 |    0.00302 |
                                                   initialize/partition.gatherMesh.Outer-Fluid-to-Solid |          1 |        148 |        148 |        148 |        148 |    0.00422 |
                                                  initialize/partition.prepareMesh.Outer-Fluid-to-Solid |          1 |         21 |         21 |         21 |         21 |   0.000598 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Outer-Fluid |          1 |        303 |        303 |        303 |        303 |    0.00863 |
                                               initialize/partition.sendGlobalMesh.Outer-Fluid-to-Solid |          1 |         33 |         33 |         33 |         33 |    0.00094 |
                                                                                         initializeData |          1 |      10576 |      10576 |      10576 |      10576 |      0.301 |
                                                                         initializeData/m2n.receiveData |          2 |         32 |         31 |          1 |         16 |   0.000912 |
                                                                            initializeData/m2n.sendData |          2 |          6 |          3 |          2 |          3 |   0.000171 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          1 |       9133 |       9133 |       9133 |       9133 |       0.26 |
 initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid.getIndexOnVertices |          1 |        227 |        227 |        227 |        227 |    0.00647 |
                           initializeData/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          2 |         22 |         13 |          8 |         11 |   0.000627 |
                                                                                         solver.advance |          1 |         14 |         14 |         14 |         14 |   0.000399 |
                                                                                      solver.initialize |          1 |      20854 |      20854 |      20854 |      20854 |      0.594 |


                                                                                                   Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |      35090 |          0 |      35090 |          0 |          1 |
                                                                                                advance |        949 |          0 |        949 |          0 |          1 |
                                                                                advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                                   advance/m2n.sendData |          2 |          0 |          2 |          0 |          1 |
                                  advance/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          9 |          0 |          9 |          0 |          1 |
                                                                                              configure |          2 |          0 |          2 |          0 |          1 |
                                                                                               finalize |       1847 |          0 |       1847 |          0 |          1 |
                                                                                             initialize |        846 |          0 |        846 |          0 |          1 |
                                                                  initialize/m2n.acceptMasterConnection |         11 |          0 |         11 |          0 |          1 |
                                                                  initialize/m2n.acceptSlavesConnection |        200 |          0 |        200 |          0 |          1 |
                                                            initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |         55 |          0 |         29 |          0 |   0.527273 |
                                                                    initialize/m2n.createCommunications |          5 |          0 |          2 |          0 |        0.4 |
                                                              initialize/m2n.exchangeVertexDistribution |        102 |          0 |          4 |          0 |  0.0392157 |
                                                   initialize/partition.gatherMesh.Outer-Fluid-to-Solid |        148 |          0 |        148 |          0 |          1 |
                                                  initialize/partition.prepareMesh.Outer-Fluid-to-Solid |         21 |          0 |         21 |          0 |          1 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Outer-Fluid |        303 |          0 |        303 |          0 |          1 |
                                               initialize/partition.sendGlobalMesh.Outer-Fluid-to-Solid |         33 |          0 |         33 |          0 |          1 |
                                                                                         initializeData |      10576 |          0 |      10576 |          0 |          1 |
                                                                         initializeData/m2n.receiveData |         31 |          0 |          1 |          0 |  0.0322581 |
                                                                            initializeData/m2n.sendData |          3 |          0 |          2 |          0 |   0.666667 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |       9133 |          0 |       9133 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid.getIndexOnVertices |        227 |          0 |        227 |          0 |          1 |
                           initializeData/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |         13 |          0 |          8 |          0 |   0.615385 |
                                                                                         solver.advance |         14 |          0 |         14 |          0 |          1 |
                                                                                      solver.initialize |      20854 |          0 |      20854 |          0 |          1 |
