Run finished at Thu Oct 22 09:07:17 2020
Global runtime       = 61376ms / 61.376s
Number of processors = 1
# Rank: 0

                                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |          1 |      61376 |      61376 |      61376 |      61376 |          1 |
                                                                                       advance |        302 |      57660 |        260 |         11 |        190 |      0.939 |
                                                          advance/cpl.computeQuasiNewtonUpdate |        202 |        659 |         16 |          0 |          3 |     0.0107 |
                                                                       advance/m2n.receiveData |        301 |      53921 |        245 |        140 |        179 |      0.879 |
                                                                          advance/m2n.sendData |        302 |       1203 |         15 |          0 |          3 |     0.0196 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |        301 |         27 |          0 |          0 |          0 |    0.00044 |
                                                                                     configure |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                                                                                      finalize |          1 |         90 |         90 |         90 |         90 |    0.00147 |
                                                                                    initialize |          1 |       2601 |       2601 |       2601 |       2601 |     0.0424 |
                                                         initialize/m2n.acceptMasterConnection |          1 |       1952 |       1952 |       1952 |       1952 |     0.0318 |
                                                         initialize/m2n.acceptSlavesConnection |          1 |         28 |         28 |         28 |         28 |   0.000456 |
                                                   initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          2 |          8 |          4 |          3 |          4 |    0.00013 |
                                                     initialize/m2n.exchangeVertexDistribution |          2 |         19 |         10 |          8 |          9 |    0.00031 |
                                                                    initialize/m2n.receiveData |          1 |        502 |        502 |        502 |        502 |    0.00818 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |         39 |         39 |         39 |         39 |   0.000635 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          1 |          4 |          4 |          4 |          4 |   6.52e-05 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |         12 |         12 |         12 |         12 |   0.000196 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                initializeData |          1 |          4 |          4 |          4 |          4 |   6.52e-05 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |        302 |        971 |         12 |          1 |          3 |     0.0158 |
                                                                             solver.initialize |          1 |         28 |         28 |         28 |         28 |   0.000456 |


                                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |      61376 |          0 |      61376 |          0 |          1 |
                                                                                       advance |        260 |          0 |         11 |          0 |  0.0423077 |
                                                          advance/cpl.computeQuasiNewtonUpdate |         16 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.receiveData |        245 |          0 |        140 |          0 |   0.571429 |
                                                                          advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                     configure |          1 |          0 |          1 |          0 |          1 |
                                                                                      finalize |         90 |          0 |         90 |          0 |          1 |
                                                                                    initialize |       2601 |          0 |       2601 |          0 |          1 |
                                                         initialize/m2n.acceptMasterConnection |       1952 |          0 |       1952 |          0 |          1 |
                                                         initialize/m2n.acceptSlavesConnection |         28 |          0 |         28 |          0 |          1 |
                                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          4 |          0 |          3 |          0 |       0.75 |
                                                     initialize/m2n.exchangeVertexDistribution |         10 |          0 |          8 |          0 |        0.8 |
                                                                    initialize/m2n.receiveData |        502 |          0 |        502 |          0 |          1 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |         39 |          0 |         39 |          0 |          1 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          4 |          0 |          4 |          0 |          1 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |         12 |          0 |         12 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                initializeData |          4 |          0 |          4 |          0 |          1 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |         12 |          0 |          1 |          0 |  0.0833333 |
                                                                             solver.initialize |         28 |          0 |         28 |          0 |          1 |
