Run finished at Thu Oct 22 09:13:43 2020
Global runtime       = 78401ms / 78.401s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      78401 |      78401 |      78401 |      78401 |          1 |
                                             advance |        846 |      77094 |        120 |         20 |         91 |      0.983 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      43277 |         89 |          0 |         58 |      0.552 |
                             advance/m2n.receiveData |        845 |      23712 |         46 |         22 |         28 |      0.302 |
                                advance/m2n.sendData |        846 |       7128 |         15 |          0 |          8 |     0.0909 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          2 |          2 |          2 |          2 |   2.55e-05 |
                                          initialize |          1 |        589 |        589 |        589 |        589 |    0.00751 |
               initialize/m2n.acceptMasterConnection |          1 |        580 |        580 |        580 |        580 |     0.0074 |
               initialize/m2n.acceptSlavesConnection |          1 |          5 |          5 |          5 |          5 |   6.38e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.55e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.55e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         39 |         39 |         39 |         39 |   0.000497 |
                      initializeData/m2n.receiveData |          1 |         38 |         38 |         38 |         38 |   0.000485 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        621 |          1 |          0 |          0 |    0.00792 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |   3.83e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      78401 |          0 |      78401 |          0 |          1 |
                                             advance |        120 |          0 |         20 |          0 |   0.166667 |
                advance/cpl.computeQuasiNewtonUpdate |         89 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         46 |          0 |         22 |          0 |   0.478261 |
                                advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          2 |          0 |          2 |          0 |          1 |
                                          initialize |        589 |          0 |        589 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        580 |          0 |        580 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          5 |          0 |          5 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         39 |          0 |         39 |          0 |          1 |
                      initializeData/m2n.receiveData |         38 |          0 |         38 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          1 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
