Run finished at Thu Oct 22 09:11:39 2020
Global runtime       = 12965ms / 12.965s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      12965 |      12965 |      12965 |      12965 |          1 |
                                                                                  advance |        305 |      10180 |         46 |          3 |         33 |      0.785 |
                                                                  advance/m2n.receiveData |        305 |       2195 |         24 |          0 |          7 |      0.169 |
                                                                     advance/m2n.sendData |        305 |         50 |          2 |          0 |          0 |    0.00386 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |        305 |         10 |          0 |          0 |          0 |   0.000771 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |          4 |          4 |          4 |          4 |   0.000309 |
                                                                               initialize |          1 |         22 |         22 |         22 |         22 |     0.0017 |
                                              initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   0.000386 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          7 |          3 |          3 |          3 |    0.00054 |
                                                   initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   0.000231 |
                                                   initialize/m2n.requestSlavesConnection |          1 |         13 |         13 |         13 |         13 |      0.001 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          1 |          1 |          1 |          1 |   7.71e-05 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          1 |          7 |          7 |          7 |          7 |    0.00054 |
                                                           initializeData/m2n.receiveData |          1 |          1 |          1 |          1 |          1 |   7.71e-05 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          3 |          3 |          3 |          3 |   0.000231 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        305 |       2730 |         28 |          1 |          8 |      0.211 |
                                                                        solver.initialize |          1 |          7 |          7 |          7 |          7 |    0.00054 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      12965 |          0 |      12965 |          0 |          1 |
                                                                                  advance |         46 |          0 |          3 |          0 |  0.0652174 |
                                                                  advance/m2n.receiveData |         24 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |          2 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          4 |          0 |          4 |          0 |          1 |
                                                                               initialize |         22 |          0 |         22 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |         13 |          0 |         13 |          0 |          1 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          0 |          1 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          7 |          0 |          7 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          1 |          0 |          1 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          3 |          0 |          3 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         28 |          0 |          1 |          0 |  0.0357143 |
                                                                        solver.initialize |          7 |          0 |          7 |          0 |          1 |
