Run finished at Thu Oct 22 09:15:22 2020
Global runtime       = 142240ms / 142.24s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     142240 |     142240 |     142240 |     142240 |          1 |
                                                                       advance |        195 |       9694 |        110 |          6 |         49 |     0.0682 |
                                                       advance/m2n.receiveData |        195 |         47 |          3 |          0 |          0 |    0.00033 |
                                                          advance/m2n.sendData |        195 |       1032 |         14 |          0 |          5 |    0.00726 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          2 |          2 |          2 |          2 |   1.41e-05 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          7 |          7 |          7 |          7 |   4.92e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   1.41e-05 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         13 |          0 |          0 |          0 |   9.14e-05 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         18 |          0 |          0 |          0 |   0.000127 |
                                                                     configure |          1 |          4 |          4 |          4 |          4 |   2.81e-05 |
                                                                      finalize |          1 |          4 |          4 |          4 |          4 |   2.81e-05 |
                                                                    initialize |          1 |         28 |         28 |         28 |         28 |   0.000197 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          6 |          6 |          6 |          6 |   4.22e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |         12 |         12 |         12 |         12 |   8.44e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   2.11e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |         20 |         20 |         20 |         20 |   0.000141 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          1 |          1 |          1 |          1 |   7.03e-06 |
                                                                solver.advance |        195 |     132141 |       1640 |         17 |        677 |      0.929 |
                                                             solver.initialize |          1 |        337 |        337 |        337 |        337 |    0.00237 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     142240 |          0 |     142240 |          0 |          1 |
                                                                       advance |        110 |          0 |          6 |          0 |  0.0545455 |
                                                       advance/m2n.receiveData |          3 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          2 |          0 |          2 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          7 |          0 |          7 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          4 |          0 |          4 |          0 |          1 |
                                                                      finalize |          4 |          0 |          4 |          0 |          1 |
                                                                    initialize |         28 |          0 |         28 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          6 |          0 |          6 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |         12 |          0 |         12 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         20 |          0 |         20 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          0 |          1 |          0 |          1 |
                                                                solver.advance |       1640 |          0 |         17 |          0 |  0.0103659 |
                                                             solver.initialize |        337 |          0 |        337 |          0 |          1 |
