Run finished at Thu Oct 22 09:15:40 2020
Global runtime       = 146615ms / 146.615s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     146615 |     146615 |     146615 |     146615 |          1 |
                                                                       advance |        195 |       9864 |        101 |         10 |         50 |     0.0673 |
                                                       advance/m2n.receiveData |        195 |         47 |          4 |          0 |          0 |   0.000321 |
                                                          advance/m2n.sendData |        195 |       1031 |         15 |          0 |          5 |    0.00703 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          2 |          2 |          2 |          2 |   1.36e-05 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          6 |          6 |          6 |          6 |   4.09e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   6.82e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         19 |          1 |          0 |          0 |    0.00013 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         12 |          0 |          0 |          0 |   8.18e-05 |
                                                                     configure |          1 |          1 |          1 |          1 |          1 |   6.82e-06 |
                                                                      finalize |          1 |         12 |         12 |         12 |         12 |   8.18e-05 |
                                                                    initialize |          1 |         31 |         31 |         31 |         31 |   0.000211 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |          7 |          7 |          7 |          7 |   4.77e-05 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          6 |          6 |          6 |          6 |   4.09e-05 |
                                                                solver.advance |        195 |     136393 |       1651 |         24 |        699 |       0.93 |
                                                             solver.initialize |          1 |        296 |        296 |        296 |        296 |    0.00202 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     146615 |          0 |     146615 |          0 |          1 |
                                                                       advance |        101 |          0 |         10 |          0 |  0.0990099 |
                                                       advance/m2n.receiveData |          4 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          2 |          0 |          2 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          6 |          0 |          6 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          1 |          0 |          1 |          0 |          1 |
                                                                      finalize |         12 |          0 |         12 |          0 |          1 |
                                                                    initialize |         31 |          0 |         31 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          3 |          0 |          3 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |          7 |          0 |          7 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          6 |          0 |          6 |          0 |          1 |
                                                                solver.advance |       1651 |          0 |         24 |          0 |  0.0145366 |
                                                             solver.initialize |        296 |          0 |        296 |          0 |          1 |
