Run finished at Thu Oct 22 19:06:22 2020
Global runtime       = 59559ms / 59.559s
Number of processors = 1
# Rank: 0

                                                                       Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |          1 |      59559 |      59559 |      59559 |      59559 |          1 |
                                                                     advance |        302 |       4683 |         41 |          9 |         15 |     0.0786 |
                                                     advance/m2n.receiveData |        302 |        167 |         10 |          0 |          0 |     0.0028 |
                                                        advance/m2n.sendData |        302 |       2567 |         15 |          0 |          8 |     0.0431 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          1 |         10 |         10 |         10 |         10 |   0.000168 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   1.68e-05 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |        302 |         23 |          1 |          0 |          0 |   0.000386 |
                                                                   configure |          1 |          6 |          6 |          6 |          6 |   0.000101 |
                                                                    finalize |          1 |         18 |         18 |         18 |         18 |   0.000302 |
                                                                  initialize |          1 |         76 |         76 |         76 |         76 |    0.00128 |
                                 initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          2 |         14 |         11 |          2 |          7 |   0.000235 |
                                   initialize/m2n.exchangeVertexDistribution |          2 |         18 |         15 |          2 |          9 |   0.000302 |
                                      initialize/m2n.requestMasterConnection |          1 |         11 |         11 |         11 |         11 |   0.000185 |
                                      initialize/m2n.requestSlavesConnection |          1 |         34 |         34 |         34 |         34 |   0.000571 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |          1 |          1 |          1 |          1 |   1.68e-05 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |          3 |          3 |          3 |          3 |   5.04e-05 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          1 |         19 |         19 |         19 |         19 |   0.000319 |
                                                              initializeData |          1 |          2 |          2 |          2 |          2 |   3.36e-05 |
                                                              solver.advance |        302 |      54536 |        312 |         73 |        180 |      0.916 |
                                                           solver.initialize |          1 |        198 |        198 |        198 |        198 |    0.00332 |


                                                                        Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |      59559 |          0 |      59559 |          0 |          1 |
                                                                     advance |         41 |          0 |          9 |          0 |   0.219512 |
                                                     advance/m2n.receiveData |         10 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |         10 |          0 |         10 |          0 |          1 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |          1 |          0 |          0 |          0 |          0 |
                                                                   configure |          6 |          0 |          6 |          0 |          1 |
                                                                    finalize |         18 |          0 |         18 |          0 |          1 |
                                                                  initialize |         76 |          0 |         76 |          0 |          1 |
                                 initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |         11 |          0 |          2 |          0 |   0.181818 |
                                   initialize/m2n.exchangeVertexDistribution |         15 |          0 |          2 |          0 |   0.133333 |
                                      initialize/m2n.requestMasterConnection |         11 |          0 |         11 |          0 |          1 |
                                      initialize/m2n.requestSlavesConnection |         34 |          0 |         34 |          0 |          1 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |          0 |          1 |          0 |          1 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          3 |          0 |          3 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |         19 |          0 |         19 |          0 |          1 |
                                                              initializeData |          2 |          0 |          2 |          0 |          1 |
                                                              solver.advance |        312 |          0 |         73 |          0 |   0.233974 |
                                                           solver.initialize |        198 |          0 |        198 |          0 |          1 |
