Run finished at Thu Oct 22 19:06:22 2020
Global runtime       = 61369ms / 61.369s
Number of processors = 1
# Rank: 0

                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |          1 |      61369 |      61369 |      61369 |      61369 |          1 |
                                                                        advance |        302 |      58030 |        324 |          9 |        192 |      0.946 |
                                           advance/cpl.computeQuasiNewtonUpdate |        202 |        648 |         35 |          0 |          3 |     0.0106 |
                                                        advance/m2n.receiveData |        301 |      55252 |        315 |        145 |        183 |        0.9 |
                                                           advance/m2n.sendData |        302 |        459 |         14 |          0 |          1 |    0.00748 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |        301 |         17 |          0 |          0 |          0 |   0.000277 |
                                                                      configure |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                                                                       finalize |          1 |         83 |         83 |         83 |         83 |    0.00135 |
                                                                     initialize |          1 |       2108 |       2108 |       2108 |       2108 |     0.0343 |
                                          initialize/m2n.acceptMasterConnection |          1 |       1841 |       1841 |       1841 |       1841 |       0.03 |
                                          initialize/m2n.acceptSlavesConnection |          1 |         42 |         42 |         42 |         42 |   0.000684 |
                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          2 |         16 |         13 |          2 |          8 |   0.000261 |
                                      initialize/m2n.exchangeVertexDistribution |          2 |         19 |         13 |          6 |          9 |    0.00031 |
                                                     initialize/m2n.receiveData |          1 |        190 |        190 |        190 |        190 |     0.0031 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          1 |          6 |          6 |          6 |          6 |   9.78e-05 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   3.26e-05 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          1 |         16 |         16 |         16 |         16 |   0.000261 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          2 |          2 |          2 |          2 |   3.26e-05 |
                                                                 initializeData |          1 |          6 |          6 |          6 |          6 |   9.78e-05 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |        302 |       1111 |         16 |          1 |          3 |     0.0181 |
                                                              solver.initialize |          1 |          7 |          7 |          7 |          7 |   0.000114 |


                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |      61369 |          0 |      61369 |          0 |          1 |
                                                                        advance |        324 |          0 |          9 |          0 |  0.0277778 |
                                           advance/cpl.computeQuasiNewtonUpdate |         35 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.receiveData |        315 |          0 |        145 |          0 |   0.460317 |
                                                           advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                      configure |          1 |          0 |          1 |          0 |          1 |
                                                                       finalize |         83 |          0 |         83 |          0 |          1 |
                                                                     initialize |       2108 |          0 |       2108 |          0 |          1 |
                                          initialize/m2n.acceptMasterConnection |       1841 |          0 |       1841 |          0 |          1 |
                                          initialize/m2n.acceptSlavesConnection |         42 |          0 |         42 |          0 |          1 |
                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |         13 |          0 |          2 |          0 |   0.153846 |
                                      initialize/m2n.exchangeVertexDistribution |         13 |          0 |          6 |          0 |   0.461538 |
                                                     initialize/m2n.receiveData |        190 |          0 |        190 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          6 |          0 |          6 |          0 |          1 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          1 |          0 |          1 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |         16 |          0 |         16 |          0 |          1 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          2 |          0 |          2 |          0 |          1 |
                                                                 initializeData |          6 |          0 |          6 |          0 |          1 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |         16 |          0 |          1 |          0 |     0.0625 |
                                                              solver.initialize |          7 |          0 |          7 |          0 |          1 |
