Run finished at Thu Oct 22 19:31:27 2020
Global runtime       = 635049ms / 635.049s
Number of processors = 1
# Rank: 0

                                                                                                  Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |          1 |     635049 |     635049 |     635049 |     635049 |          1 |
                                                                                                advance |          1 |        721 |        721 |        721 |        721 |    0.00114 |
                                                                                advance/m2n.receiveData |          2 |          1 |          0 |          0 |          0 |   1.57e-06 |
                                                                                   advance/m2n.sendData |          2 |         13 |          8 |          4 |          6 |   2.05e-05 |
                                  advance/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          2 |         12 |          6 |          6 |          6 |   1.89e-05 |
                                                                                              configure |          1 |          2 |          2 |          2 |          2 |   3.15e-06 |
                                                                                               finalize |          1 |      10925 |      10925 |      10925 |      10925 |     0.0172 |
                                                                                             initialize |          1 |     599449 |     599449 |     599449 |     599449 |      0.944 |
                                                                  initialize/m2n.acceptMasterConnection |          1 |        502 |        502 |        502 |        502 |    0.00079 |
                                                                  initialize/m2n.acceptSlavesConnection |          1 |        223 |        223 |        223 |        223 |   0.000351 |
                                                            initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |          2 |         53 |         38 |         15 |         26 |   8.35e-05 |
                                                                    initialize/m2n.createCommunications |          2 |          8 |          5 |          3 |          4 |   1.26e-05 |
                                                              initialize/m2n.exchangeVertexDistribution |          2 |        159 |        155 |          4 |         79 |    0.00025 |
                                                   initialize/partition.gatherMesh.Inner-Fluid-to-Solid |          1 |         71 |         71 |         71 |         71 |   0.000112 |
                                                  initialize/partition.prepareMesh.Inner-Fluid-to-Solid |          1 |         11 |         11 |         11 |         11 |   1.73e-05 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Inner-Fluid |          1 |        385 |        385 |        385 |        385 |   0.000606 |
                                               initialize/partition.sendGlobalMesh.Inner-Fluid-to-Solid |          1 |     598190 |     598190 |     598190 |     598190 |      0.942 |
                                                                                         initializeData |          1 |       6187 |       6187 |       6187 |       6187 |    0.00974 |
                                                                         initializeData/m2n.receiveData |          2 |        116 |        115 |          0 |         58 |   0.000183 |
                                                                            initializeData/m2n.sendData |          2 |          3 |          2 |          1 |          1 |   4.72e-06 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          1 |       5424 |       5424 |       5424 |       5424 |    0.00854 |
 initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid.getIndexOnVertices |          1 |        200 |        200 |        200 |        200 |   0.000315 |
                           initializeData/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          2 |         12 |          6 |          5 |          6 |   1.89e-05 |
                                                                                         solver.advance |          1 |         10 |         10 |         10 |         10 |   1.57e-05 |
                                                                                      solver.initialize |          1 |      17755 |      17755 |      17755 |      17755 |      0.028 |


                                                                                                   Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |     635049 |          0 |     635049 |          0 |          1 |
                                                                                                advance |        721 |          0 |        721 |          0 |          1 |
                                                                                advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                                   advance/m2n.sendData |          8 |          0 |          4 |          0 |        0.5 |
                                  advance/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          6 |          0 |          6 |          0 |          1 |
                                                                                              configure |          2 |          0 |          2 |          0 |          1 |
                                                                                               finalize |      10925 |          0 |      10925 |          0 |          1 |
                                                                                             initialize |     599449 |          0 |     599449 |          0 |          1 |
                                                                  initialize/m2n.acceptMasterConnection |        502 |          0 |        502 |          0 |          1 |
                                                                  initialize/m2n.acceptSlavesConnection |        223 |          0 |        223 |          0 |          1 |
                                                            initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |         38 |          0 |         15 |          0 |   0.394737 |
                                                                    initialize/m2n.createCommunications |          5 |          0 |          3 |          0 |        0.6 |
                                                              initialize/m2n.exchangeVertexDistribution |        155 |          0 |          4 |          0 |  0.0258065 |
                                                   initialize/partition.gatherMesh.Inner-Fluid-to-Solid |         71 |          0 |         71 |          0 |          1 |
                                                  initialize/partition.prepareMesh.Inner-Fluid-to-Solid |         11 |          0 |         11 |          0 |          1 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Inner-Fluid |        385 |          0 |        385 |          0 |          1 |
                                               initialize/partition.sendGlobalMesh.Inner-Fluid-to-Solid |     598190 |          0 |     598190 |          0 |          1 |
                                                                                         initializeData |       6187 |          0 |       6187 |          0 |          1 |
                                                                         initializeData/m2n.receiveData |        115 |          0 |          0 |          0 |          0 |
                                                                            initializeData/m2n.sendData |          2 |          0 |          1 |          0 |        0.5 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |       5424 |          0 |       5424 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid.getIndexOnVertices |        200 |          0 |        200 |          0 |          1 |
                           initializeData/map.nn.mapData.FromSolid-to-Inner-FluidToInner-Fluid-to-Solid |          6 |          0 |          5 |          0 |   0.833333 |
                                                                                         solver.advance |         10 |          0 |         10 |          0 |          1 |
                                                                                      solver.initialize |      17755 |          0 |      17755 |          0 |          1 |
