Run finished at Thu Oct 22 20:11:26 2020
Global runtime       = 48500ms / 48.5s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      48500 |      48500 |      48500 |      48500 |          1 |
                                                         advance |        301 |      12374 |         90 |         18 |         41 |      0.255 |
                                         advance/m2n.receiveData |        301 |        119 |          4 |          0 |          0 |    0.00245 |
                                            advance/m2n.sendData |        301 |       2135 |         13 |          0 |          7 |      0.044 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         35 |         35 |         35 |         35 |   0.000722 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       1228 |         16 |          2 |          4 |     0.0253 |
                                                       configure |          1 |          1 |          1 |          1 |          1 |   2.06e-05 |
                                                        finalize |          1 |         15 |         15 |         15 |         15 |   0.000309 |
                                                      initialize |          1 |        159 |        159 |        159 |        159 |    0.00328 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          1 |          0 |          0 |          0 |   2.06e-05 |
                             initialize/m2n.createCommunications |          3 |          9 |          3 |          2 |          3 |   0.000186 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         12 |          4 |          3 |          4 |   0.000247 |
                          initialize/m2n.requestMasterConnection |          1 |         34 |         34 |         34 |         34 |   0.000701 |
                          initialize/m2n.requestSlavesConnection |          1 |         23 |         23 |         23 |         23 |   0.000474 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |         10 |         10 |         10 |         10 |   0.000206 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          2 |          2 |          2 |          2 |   4.12e-05 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |         44 |         44 |         44 |         44 |   0.000907 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |         13 |         13 |         13 |         13 |   0.000268 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          9 |          9 |          9 |          9 |   0.000186 |
                                                  initializeData |          1 |          5 |          5 |          5 |          5 |   0.000103 |
                                                  solver.advance |        301 |      35737 |        240 |         71 |        118 |      0.737 |
                                               solver.initialize |          1 |        165 |        165 |        165 |        165 |     0.0034 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      48500 |          0 |      48500 |          0 |          1 |
                                                         advance |         90 |          0 |         18 |          0 |        0.2 |
                                         advance/m2n.receiveData |          4 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         13 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         35 |          0 |         35 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |         16 |          0 |          2 |          0 |      0.125 |
                                                       configure |          1 |          0 |          1 |          0 |          1 |
                                                        finalize |         15 |          0 |         15 |          0 |          1 |
                                                      initialize |        159 |          0 |        159 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                       initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                          initialize/m2n.requestMasterConnection |         34 |          0 |         34 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         23 |          0 |         23 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |         10 |          0 |         10 |          0 |          1 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          2 |          0 |          2 |          0 |          1 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |         44 |          0 |         44 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |         13 |          0 |         13 |          0 |          1 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          9 |          0 |          9 |          0 |          1 |
                                                  initializeData |          5 |          0 |          5 |          0 |          1 |
                                                  solver.advance |        240 |          0 |         71 |          0 |   0.295833 |
                                               solver.initialize |        165 |          0 |        165 |          0 |          1 |
