Run finished at Thu Oct 22 20:36:04 2020
Global runtime       = 60336ms / 60.336s
Number of processors = 1
# Rank: 0

                                                                                      Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    _GLOBAL |          1 |      60336 |      60336 |      60336 |      60336 |          1 |
                                                                                    advance |        302 |       5799 |        189 |          9 |         19 |     0.0961 |
                                                                    advance/m2n.receiveData |        302 |        185 |          9 |          0 |          0 |    0.00307 |
                                                                       advance/m2n.sendData |        302 |       2515 |         16 |          0 |          8 |     0.0417 |
                     advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers |          1 |        135 |        135 |        135 |        135 |    0.00224 |
 advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers.getIndexOnTriangles |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                            advance/map.np.mapData.FromSolid-Mesh-NodesToFluid-Mesh-Centers |        302 |         75 |          2 |          0 |          0 |    0.00124 |
                                                                                  configure |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                                                                                   finalize |          1 |          9 |          9 |          9 |          9 |   0.000149 |
                                                                                 initialize |          1 |        138 |        138 |        138 |        138 |    0.00229 |
                                                initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                       initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                        initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   8.29e-05 |
                                                  initialize/m2n.exchangeVertexDistribution |          2 |         15 |         11 |          4 |          7 |   0.000249 |
                                                     initialize/m2n.requestMasterConnection |          1 |          7 |          7 |          7 |          7 |   0.000116 |
                                                     initialize/m2n.requestSlavesConnection |          1 |         22 |         22 |         22 |         22 |   0.000365 |
                                           initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          7 |          7 |          7 |          7 |   0.000116 |
                                        initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.receiveGlobalMesh.Solid-Mesh-Nodes |          1 |          8 |          8 |          8 |          8 |   0.000133 |
                                       initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          9 |          9 |          9 |          9 |   0.000149 |
                                                                             initializeData |          1 |          8 |          8 |          8 |          8 |   0.000133 |
                                                                             solver.advance |        302 |      53708 |        246 |         71 |        177 |       0.89 |
                                                                          solver.initialize |          1 |        637 |        637 |        637 |        637 |     0.0106 |


                                                                                       Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    _GLOBAL |      60336 |          0 |      60336 |          0 |          1 |
                                                                                    advance |        189 |          0 |          9 |          0 |   0.047619 |
                                                                    advance/m2n.receiveData |          9 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                     advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers |        135 |          0 |        135 |          0 |          1 |
 advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers.getIndexOnTriangles |          3 |          0 |          3 |          0 |          1 |
                            advance/map.np.mapData.FromSolid-Mesh-NodesToFluid-Mesh-Centers |          2 |          0 |          0 |          0 |          0 |
                                                                                  configure |          3 |          0 |          3 |          0 |          1 |
                                                                                   finalize |          9 |          0 |          9 |          0 |          1 |
                                                                                 initialize |        138 |          0 |        138 |          0 |          1 |
                                                initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                       initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                        initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                  initialize/m2n.exchangeVertexDistribution |         11 |          0 |          4 |          0 |   0.363636 |
                                                     initialize/m2n.requestMasterConnection |          7 |          0 |          7 |          0 |          1 |
                                                     initialize/m2n.requestSlavesConnection |         22 |          0 |         22 |          0 |          1 |
                                           initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          7 |          0 |          7 |          0 |          1 |
                                        initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                          initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.receiveGlobalMesh.Solid-Mesh-Nodes |          8 |          0 |          8 |          0 |          1 |
                                       initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          9 |          0 |          9 |          0 |          1 |
                                                                             initializeData |          8 |          0 |          8 |          0 |          1 |
                                                                             solver.advance |        246 |          0 |         71 |          0 |   0.288618 |
                                                                          solver.initialize |        637 |          0 |        637 |          0 |          1 |
