Run finished at Thu Oct 22 20:36:04 2020
Global runtime       = 60786ms / 60.786s
Number of processors = 1
# Rank: 0

                                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |          1 |      60786 |      60786 |      60786 |      60786 |          1 |
                                                                                       advance |        302 |      58233 |        299 |         11 |        192 |      0.958 |
                                                          advance/cpl.computeQuasiNewtonUpdate |        202 |        733 |         19 |          0 |          3 |     0.0121 |
                                                                       advance/m2n.receiveData |        301 |      53596 |        295 |        139 |        178 |      0.882 |
                                                                          advance/m2n.sendData |        302 |       1753 |         16 |          0 |          5 |     0.0288 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |        301 |         30 |          0 |          0 |          0 |   0.000494 |
                                                                                     configure |          1 |          2 |          2 |          2 |          2 |   3.29e-05 |
                                                                                      finalize |          1 |         84 |         84 |         84 |         84 |    0.00138 |
                                                                                    initialize |          1 |       1184 |       1184 |       1184 |       1184 |     0.0195 |
                                                         initialize/m2n.acceptMasterConnection |          1 |        814 |        814 |        814 |        814 |     0.0134 |
                                                         initialize/m2n.acceptSlavesConnection |          1 |         17 |         17 |         17 |         17 |    0.00028 |
                                                   initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          2 |          7 |          3 |          3 |          3 |   0.000115 |
                                                     initialize/m2n.exchangeVertexDistribution |          2 |          9 |          5 |          4 |          4 |   0.000148 |
                                                                    initialize/m2n.receiveData |          1 |        200 |        200 |        200 |        200 |    0.00329 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |         33 |         33 |         33 |         33 |   0.000543 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          1 |         12 |         12 |         12 |         12 |   0.000197 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.65e-05 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |         23 |         23 |         23 |         23 |   0.000378 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          7 |          7 |          7 |          7 |   0.000115 |
                                                                                initializeData |          1 |          7 |          7 |          7 |          7 |   0.000115 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |        302 |       1153 |         16 |          1 |          3 |      0.019 |
                                                                             solver.initialize |          1 |         96 |         96 |         96 |         96 |    0.00158 |


                                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |      60786 |          0 |      60786 |          0 |          1 |
                                                                                       advance |        299 |          0 |         11 |          0 |  0.0367893 |
                                                          advance/cpl.computeQuasiNewtonUpdate |         19 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.receiveData |        295 |          0 |        139 |          0 |   0.471186 |
                                                                          advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                     configure |          2 |          0 |          2 |          0 |          1 |
                                                                                      finalize |         84 |          0 |         84 |          0 |          1 |
                                                                                    initialize |       1184 |          0 |       1184 |          0 |          1 |
                                                         initialize/m2n.acceptMasterConnection |        814 |          0 |        814 |          0 |          1 |
                                                         initialize/m2n.acceptSlavesConnection |         17 |          0 |         17 |          0 |          1 |
                                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          3 |          0 |          3 |          0 |          1 |
                                                     initialize/m2n.exchangeVertexDistribution |          5 |          0 |          4 |          0 |        0.8 |
                                                                    initialize/m2n.receiveData |        200 |          0 |        200 |          0 |          1 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |         33 |          0 |         33 |          0 |          1 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |         12 |          0 |         12 |          0 |          1 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |         23 |          0 |         23 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          7 |          0 |          7 |          0 |          1 |
                                                                                initializeData |          7 |          0 |          7 |          0 |          1 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |         16 |          0 |          1 |          0 |     0.0625 |
                                                                             solver.initialize |         96 |          0 |         96 |          0 |          1 |
