Run finished at Thu Oct 22 21:38:06 2020
Global runtime       = 81178ms / 81.178s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      81178 |      81178 |      81178 |      81178 |          1 |
                                                                                  advance |        846 |      51842 |        104 |          4 |         61 |      0.639 |
                                                                  advance/m2n.receiveData |        846 |        406 |          0 |          0 |          0 |      0.005 |
                                                                     advance/m2n.sendData |        846 |       6672 |         14 |          0 |          7 |     0.0822 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |        846 |        119 |          0 |          0 |          0 |    0.00147 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |        846 |        108 |          0 |          0 |          0 |    0.00133 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |         17 |         17 |         17 |         17 |   0.000209 |
                                                                               initialize |          1 |         10 |         10 |         10 |         10 |   0.000123 |
                                              initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.46e-05 |
                                                initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.46e-05 |
                                                   initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   1.23e-05 |
                                                   initialize/m2n.requestSlavesConnection |          1 |          5 |          5 |          5 |          5 |   6.16e-05 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          1 |          1 |          1 |          1 |   1.23e-05 |
                                                                           initializeData |          1 |          8 |          8 |          8 |          8 |   9.85e-05 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |          3 |          3 |          3 |          3 |    3.7e-05 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          2 |          2 |          2 |          2 |   2.46e-05 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        846 |      29181 |         60 |          2 |         34 |      0.359 |
                                                                        solver.initialize |          1 |         32 |         32 |         32 |         32 |   0.000394 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      81178 |          0 |      81178 |          0 |          1 |
                                                                                  advance |        104 |          0 |          4 |          0 |  0.0384615 |
                                                                  advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |         17 |          0 |         17 |          0 |          1 |
                                                                               initialize |         10 |          0 |         10 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |          5 |          0 |          5 |          0 |          1 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          0 |          1 |          0 |          1 |
                                                                           initializeData |          8 |          0 |          8 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          3 |          0 |          3 |          0 |          1 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          2 |          0 |          2 |          0 |          1 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         60 |          0 |          2 |          0 |  0.0333333 |
                                                                        solver.initialize |         32 |          0 |         32 |          0 |          1 |
