Run finished at Thu Oct 22 21:38:06 2020
Global runtime       = 81802ms / 81.802s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      81802 |      81802 |      81802 |      81802 |          1 |
                                             advance |        846 |      80361 |        136 |         21 |         94 |      0.982 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      45546 |         98 |          0 |         61 |      0.557 |
                             advance/m2n.receiveData |        845 |      24753 |         53 |         22 |         29 |      0.303 |
                                advance/m2n.sendData |        846 |       6685 |         14 |          0 |          7 |     0.0817 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          3 |          3 |          3 |          3 |   3.67e-05 |
                                          initialize |          1 |        642 |        642 |        642 |        642 |    0.00785 |
               initialize/m2n.acceptMasterConnection |          1 |        633 |        633 |        633 |        633 |    0.00774 |
               initialize/m2n.acceptSlavesConnection |          1 |          5 |          5 |          5 |          5 |   6.11e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.44e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.44e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         40 |         40 |         40 |         40 |   0.000489 |
                      initializeData/m2n.receiveData |          1 |         38 |         38 |         38 |         38 |   0.000465 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        700 |          9 |          0 |          0 |    0.00856 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |   3.67e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      81802 |          0 |      81802 |          0 |          1 |
                                             advance |        136 |          0 |         21 |          0 |   0.154412 |
                advance/cpl.computeQuasiNewtonUpdate |         98 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         53 |          0 |         22 |          0 |   0.415094 |
                                advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          3 |          0 |          3 |          0 |          1 |
                                          initialize |        642 |          0 |        642 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        633 |          0 |        633 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          5 |          0 |          5 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         40 |          0 |         40 |          0 |          1 |
                      initializeData/m2n.receiveData |         38 |          0 |         38 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          9 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
