Run finished at Thu Oct 22 21:38:51 2020
Global runtime       = 12924ms / 12.924s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      12924 |      12924 |      12924 |      12924 |          1 |
                                                                                  advance |        305 |      12767 |         46 |          3 |         41 |      0.988 |
                                                     advance/cpl.computeQuasiNewtonUpdate |        205 |       1074 |          8 |          0 |          5 |     0.0831 |
                                                                  advance/m2n.receiveData |        304 |      10907 |         40 |          3 |         35 |      0.844 |
                                                                     advance/m2n.sendData |        305 |         55 |          0 |          0 |          0 |    0.00426 |
                                  advance/map.nn.mapData.FromFluid_NodesToStructure_Nodes |        304 |         10 |          0 |          0 |          0 |   0.000774 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |          9 |          9 |          9 |          9 |   0.000696 |
                                                                               initialize |          1 |         28 |         28 |         28 |         28 |    0.00217 |
                                                    initialize/m2n.acceptMasterConnection |          1 |          9 |          9 |          9 |          9 |   0.000696 |
                                                    initialize/m2n.acceptSlavesConnection |          1 |         13 |         13 |         13 |         13 |    0.00101 |
                                              initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |    0.00031 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          8 |          4 |          3 |          4 |   0.000619 |
                                          initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                         initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid_Nodes |          1 |          1 |          1 |          1 |          1 |   7.74e-05 |
                                      initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          1 |         17 |         17 |         17 |         17 |    0.00132 |
                                                           initializeData/m2n.receiveData |          1 |         10 |         10 |         10 |         10 |   0.000774 |
                                                              initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |          4 |          4 |          4 |          4 |    0.00031 |
 initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        305 |         91 |          1 |          0 |          0 |    0.00704 |
                                                                        solver.initialize |          1 |          3 |          3 |          3 |          3 |   0.000232 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      12924 |          0 |      12924 |          0 |          1 |
                                                                                  advance |         46 |          0 |          3 |          0 |  0.0652174 |
                                                     advance/cpl.computeQuasiNewtonUpdate |          8 |          0 |          0 |          0 |          0 |
                                                                  advance/m2n.receiveData |         40 |          0 |          3 |          0 |      0.075 |
                                                                     advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          9 |          0 |          9 |          0 |          1 |
                                                                               initialize |         28 |          0 |         28 |          0 |          1 |
                                                    initialize/m2n.acceptMasterConnection |          9 |          0 |          9 |          0 |          1 |
                                                    initialize/m2n.acceptSlavesConnection |         13 |          0 |         13 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                                          initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                         initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid_Nodes |          1 |          0 |          1 |          0 |          1 |
                                      initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |         17 |          0 |         17 |          0 |          1 |
                                                           initializeData/m2n.receiveData |         10 |          0 |         10 |          0 |          1 |
                                                              initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes |          4 |          0 |          4 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |          1 |          0 |          0 |          0 |          0 |
                                                                        solver.initialize |          3 |          0 |          3 |          0 |          1 |
