Run finished at Thu Oct 22 21:45:55 2020
Global runtime       = 146349ms / 146.349s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     146349 |     146349 |     146349 |     146349 |          1 |
                                                                       advance |        195 |       9477 |         90 |          9 |         48 |     0.0648 |
                                                       advance/m2n.receiveData |        195 |         38 |          1 |          0 |          0 |    0.00026 |
                                                          advance/m2n.sendData |        195 |        960 |         14 |          0 |          4 |    0.00656 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          1 |          1 |          1 |          1 |   6.83e-06 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   6.83e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         15 |          0 |          0 |          0 |   0.000102 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         11 |          0 |          0 |          0 |   7.52e-05 |
                                                                     configure |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
                                                                      finalize |          1 |         13 |         13 |         13 |         13 |   8.88e-05 |
                                                                    initialize |          1 |         21 |         21 |         21 |         21 |   0.000143 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   1.37e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |          6 |          6 |          6 |          6 |    4.1e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   2.05e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |         10 |         10 |         10 |         10 |   6.83e-05 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                solver.advance |        195 |     136566 |       1736 |         32 |        700 |      0.933 |
                                                             solver.initialize |          1 |        243 |        243 |        243 |        243 |    0.00166 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     146349 |          0 |     146349 |          0 |          1 |
                                                                       advance |         90 |          0 |          9 |          0 |        0.1 |
                                                       advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          0 |          1 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          3 |          0 |          3 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          3 |          0 |          3 |          0 |          1 |
                                                                      finalize |         13 |          0 |         13 |          0 |          1 |
                                                                    initialize |         21 |          0 |         21 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |          6 |          0 |          6 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         10 |          0 |         10 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                solver.advance |       1736 |          0 |         32 |          0 |  0.0184332 |
                                                             solver.initialize |        243 |          0 |        243 |          0 |          1 |
