Run finished at Sat Oct 24 03:17:49 2020
Global runtime       = 59524ms / 59.524s
Number of processors = 1
# Rank: 0

                                                                       Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |          1 |      59524 |      59524 |      59524 |      59524 |          1 |
                                                                     advance |        302 |       4776 |         47 |          7 |         15 |     0.0802 |
                                                     advance/m2n.receiveData |        302 |        227 |         13 |          0 |          0 |    0.00381 |
                                                        advance/m2n.sendData |        302 |       2199 |         15 |          0 |          7 |     0.0369 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          1 |         16 |         16 |         16 |         16 |   0.000269 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   3.36e-05 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |        302 |         32 |          4 |          0 |          0 |   0.000538 |
                                                                   configure |          1 |          1 |          1 |          1 |          1 |   1.68e-05 |
                                                                    finalize |          1 |          3 |          3 |          3 |          3 |   5.04e-05 |
                                                                  initialize |          1 |       2138 |       2138 |       2138 |       2138 |     0.0359 |
                                 initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          2 |          7 |          4 |          2 |          3 |   0.000118 |
                                   initialize/m2n.exchangeVertexDistribution |          2 |         18 |         14 |          3 |          9 |   0.000302 |
                                      initialize/m2n.requestMasterConnection |          1 |       2092 |       2092 |       2092 |       2092 |     0.0351 |
                                      initialize/m2n.requestSlavesConnection |          1 |         27 |         27 |         27 |         27 |   0.000454 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |         13 |         13 |         13 |         13 |   0.000218 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                              initializeData |          1 |          5 |          5 |          5 |          5 |    8.4e-05 |
                                                              solver.advance |        302 |      52379 |        258 |         64 |        173 |       0.88 |
                                                           solver.initialize |          1 |        184 |        184 |        184 |        184 |    0.00309 |


                                                                        Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |      59524 |          0 |      59524 |          0 |          1 |
                                                                     advance |         47 |          0 |          7 |          0 |   0.148936 |
                                                     advance/m2n.receiveData |         13 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |         16 |          0 |         16 |          0 |          1 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |          4 |          0 |          0 |          0 |          0 |
                                                                   configure |          1 |          0 |          1 |          0 |          1 |
                                                                    finalize |          3 |          0 |          3 |          0 |          1 |
                                                                  initialize |       2138 |          0 |       2138 |          0 |          1 |
                                 initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          4 |          0 |          2 |          0 |        0.5 |
                                   initialize/m2n.exchangeVertexDistribution |         14 |          0 |          3 |          0 |   0.214286 |
                                      initialize/m2n.requestMasterConnection |       2092 |          0 |       2092 |          0 |          1 |
                                      initialize/m2n.requestSlavesConnection |         27 |          0 |         27 |          0 |          1 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |         13 |          0 |         13 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                              initializeData |          5 |          0 |          5 |          0 |          1 |
                                                              solver.advance |        258 |          0 |         64 |          0 |   0.248062 |
                                                           solver.initialize |        184 |          0 |        184 |          0 |          1 |
