Run finished at Sat Oct 24 03:17:49 2020
Global runtime       = 57462ms / 57.462s
Number of processors = 1
# Rank: 0

                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |          1 |      57462 |      57462 |      57462 |      57462 |          1 |
                                                                        advance |        302 |      56108 |        283 |         14 |        185 |      0.976 |
                                           advance/cpl.computeQuasiNewtonUpdate |        202 |        645 |         19 |          0 |          3 |     0.0112 |
                                                        advance/m2n.receiveData |        301 |      53123 |        261 |        142 |        176 |      0.924 |
                                                           advance/m2n.sendData |        302 |        614 |         20 |          0 |          2 |     0.0107 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |        301 |         16 |          0 |          0 |          0 |   0.000278 |
                                                                      configure |          1 |          2 |          2 |          2 |          2 |   3.48e-05 |
                                                                       finalize |          1 |         60 |         60 |         60 |         60 |    0.00104 |
                                                                     initialize |          1 |        269 |        269 |        269 |        269 |    0.00468 |
                                          initialize/m2n.acceptMasterConnection |          1 |         45 |         45 |         45 |         45 |   0.000783 |
                                          initialize/m2n.acceptSlavesConnection |          1 |         27 |         27 |         27 |         27 |    0.00047 |
                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          2 |          5 |          3 |          2 |          2 |    8.7e-05 |
                                      initialize/m2n.exchangeVertexDistribution |          2 |         19 |         16 |          3 |          9 |   0.000331 |
                                                     initialize/m2n.receiveData |          1 |        177 |        177 |        177 |        177 |    0.00308 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          1 |          4 |          4 |          4 |          4 |   6.96e-05 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   1.74e-05 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          1 |          1 |          1 |          1 |   1.74e-05 |
                                                                 initializeData |          1 |          7 |          7 |          7 |          7 |   0.000122 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |        302 |        983 |         15 |          1 |          3 |     0.0171 |
                                                              solver.initialize |          1 |         10 |         10 |         10 |         10 |   0.000174 |


                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |      57462 |          0 |      57462 |          0 |          1 |
                                                                        advance |        283 |          0 |         14 |          0 |    0.04947 |
                                           advance/cpl.computeQuasiNewtonUpdate |         19 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.receiveData |        261 |          0 |        142 |          0 |   0.544061 |
                                                           advance/m2n.sendData |         20 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                      configure |          2 |          0 |          2 |          0 |          1 |
                                                                       finalize |         60 |          0 |         60 |          0 |          1 |
                                                                     initialize |        269 |          0 |        269 |          0 |          1 |
                                          initialize/m2n.acceptMasterConnection |         45 |          0 |         45 |          0 |          1 |
                                          initialize/m2n.acceptSlavesConnection |         27 |          0 |         27 |          0 |          1 |
                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                      initialize/m2n.exchangeVertexDistribution |         16 |          0 |          3 |          0 |     0.1875 |
                                                     initialize/m2n.receiveData |        177 |          0 |        177 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          4 |          0 |          4 |          0 |          1 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          0 |          1 |          0 |          1 |
                                                                 initializeData |          7 |          0 |          7 |          0 |          1 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |         15 |          0 |          1 |          0 |  0.0666667 |
                                                              solver.initialize |         10 |          0 |         10 |          0 |          1 |
