Run finished at Sat Oct 24 03:40:23 2020
Global runtime       = 52336ms / 52.336s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      52336 |      52336 |      52336 |      52336 |          1 |
                                                         advance |        301 |      14196 |        331 |         21 |         47 |      0.271 |
                                         advance/m2n.receiveData |        301 |        142 |          2 |          0 |          0 |    0.00271 |
                                            advance/m2n.sendData |        301 |       2395 |         17 |          0 |          7 |     0.0458 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         46 |         46 |         46 |         46 |   0.000879 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       1455 |         15 |          2 |          4 |     0.0278 |
                                                       configure |          1 |          3 |          3 |          3 |          3 |   5.73e-05 |
                                                        finalize |          1 |         19 |         19 |         19 |         19 |   0.000363 |
                                                      initialize |          1 |        100 |        100 |        100 |        100 |    0.00191 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |          3 |         38 |         23 |          5 |         12 |   0.000726 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         36 |         17 |          6 |         12 |   0.000688 |
                          initialize/m2n.requestMasterConnection |          1 |          6 |          6 |          6 |          6 |   0.000115 |
                          initialize/m2n.requestSlavesConnection |          1 |         77 |         77 |         77 |         77 |    0.00147 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.91e-05 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          1 |          1 |          1 |          1 |   1.91e-05 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          2 |          2 |          2 |          2 |   3.82e-05 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          5 |          5 |          5 |          5 |   9.55e-05 |
                                                  initializeData |          1 |          8 |          8 |          8 |          8 |   0.000153 |
                                                  solver.advance |        301 |      37767 |        327 |         72 |        125 |      0.722 |
                                               solver.initialize |          1 |        196 |        196 |        196 |        196 |    0.00375 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      52336 |          0 |      52336 |          0 |          1 |
                                                         advance |        331 |          0 |         21 |          0 |  0.0634441 |
                                         advance/m2n.receiveData |          2 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         17 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         46 |          0 |         46 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |         15 |          0 |          2 |          0 |   0.133333 |
                                                       configure |          3 |          0 |          3 |          0 |          1 |
                                                        finalize |         19 |          0 |         19 |          0 |          1 |
                                                      initialize |        100 |          0 |        100 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |         23 |          0 |          5 |          0 |   0.217391 |
                       initialize/m2n.exchangeVertexDistribution |         17 |          0 |          6 |          0 |   0.352941 |
                          initialize/m2n.requestMasterConnection |          6 |          0 |          6 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         77 |          0 |         77 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          0 |          1 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          2 |          0 |          2 |          0 |          1 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          5 |          0 |          5 |          0 |          1 |
                                                  initializeData |          8 |          0 |          8 |          0 |          1 |
                                                  solver.advance |        327 |          0 |         72 |          0 |   0.220183 |
                                               solver.initialize |        196 |          0 |        196 |          0 |          1 |
