Run finished at Sat Oct 24 03:39:55 2020
Global runtime       = 53509ms / 53.509s
Number of processors = 1
# Rank: 0

                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |          1 |      53509 |      53509 |      53509 |      53509 |          1 |
                                                            advance |        301 |      15854 |        274 |         29 |         52 |      0.296 |
                                            advance/m2n.receiveData |        301 |        162 |          1 |          0 |          0 |    0.00303 |
                                               advance/m2n.sendData |        301 |       2713 |         29 |          0 |          9 |     0.0507 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         48 |         48 |         48 |         48 |   0.000897 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          1 |          2 |          2 |          2 |          2 |   3.74e-05 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   5.61e-05 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       3059 |         29 |          2 |         10 |     0.0572 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |          1 |         17 |         17 |         17 |         17 |   0.000318 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |          1 |         21 |         21 |         21 |         21 |   0.000392 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |        602 |       2363 |         13 |          0 |          3 |     0.0442 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                          configure |          1 |         20 |         20 |         20 |         20 |   0.000374 |
                                                           finalize |          1 |         19 |         19 |         19 |         19 |   0.000355 |
                                                         initialize |          1 |         97 |         97 |         97 |         97 |    0.00181 |
                        initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          3 |          9 |          4 |          1 |          3 |   0.000168 |
                          initialize/m2n.exchangeVertexDistribution |          3 |         29 |         14 |          6 |          9 |   0.000542 |
                             initialize/m2n.requestMasterConnection |          1 |         25 |         25 |         25 |         25 |   0.000467 |
                             initialize/m2n.requestSlavesConnection |          1 |         41 |         41 |         41 |         41 |   0.000766 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          2 |          2 |          2 |          2 |   3.74e-05 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          3 |          3 |          3 |          3 |   5.61e-05 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initializeData |          1 |          5 |          5 |          5 |          5 |   9.34e-05 |
                                                     solver.advance |        301 |      37311 |        364 |         88 |        123 |      0.697 |
                                                  solver.initialize |          1 |        151 |        151 |        151 |        151 |    0.00282 |


                                                               Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |      53509 |          0 |      53509 |          0 |          1 |
                                                            advance |        274 |          0 |         29 |          0 |   0.105839 |
                                            advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                               advance/m2n.sendData |         29 |          0 |          0 |          0 |          0 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         48 |          0 |         48 |          0 |          1 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          2 |          0 |          2 |          0 |          1 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |         29 |          0 |          2 |          0 |  0.0689655 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |         17 |          0 |         17 |          0 |          1 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |         21 |          0 |         21 |          0 |          1 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |         13 |          0 |          0 |          0 |          0 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                                          configure |         20 |          0 |         20 |          0 |          1 |
                                                           finalize |         19 |          0 |         19 |          0 |          1 |
                                                         initialize |         97 |          0 |         97 |          0 |          1 |
                        initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          4 |          0 |          1 |          0 |       0.25 |
                          initialize/m2n.exchangeVertexDistribution |         14 |          0 |          6 |          0 |   0.428571 |
                             initialize/m2n.requestMasterConnection |         25 |          0 |         25 |          0 |          1 |
                             initialize/m2n.requestSlavesConnection |         41 |          0 |         41 |          0 |          1 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          2 |          0 |          2 |          0 |          1 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |          3 |          0 |          3 |          0 |          1 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                                     initializeData |          5 |          0 |          5 |          0 |          1 |
                                                     solver.advance |        364 |          0 |         88 |          0 |   0.241758 |
                                                  solver.initialize |        151 |          0 |        151 |          0 |          1 |
