Run finished at Sat Oct 24 03:42:40 2020
Global runtime       = 121079ms / 121.079s
Number of processors = 1
# Rank: 0

                                                                                 Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |          1 |     121079 |     121079 |     121079 |     121079 |          1 |
                                                                               advance |        204 |      35888 |        253 |         23 |        175 |      0.296 |
                                                               advance/m2n.receiveData |        203 |      31781 |        229 |        130 |        156 |      0.262 |
                                                                  advance/m2n.sendData |        204 |       2471 |         27 |          0 |         12 |     0.0204 |
                       advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh |          1 |         17 |         17 |         17 |         17 |    0.00014 |
    advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   1.65e-05 |
                              advance/map.nn.mapData.FromNutils-Mesh-CCToOpenFOAM-Mesh |        204 |         17 |          0 |          0 |          0 |    0.00014 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |        203 |         15 |          0 |          0 |          0 |   0.000124 |
                                                                             configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          1 |          4 |          4 |          4 |          4 |    3.3e-05 |
                                                                            initialize |          1 |       1453 |       1453 |       1453 |       1453 |      0.012 |
                                                 initialize/m2n.acceptMasterConnection |          1 |       1118 |       1118 |       1118 |       1118 |    0.00923 |
                                                 initialize/m2n.acceptSlavesConnection |          1 |         40 |         40 |         40 |         40 |    0.00033 |
                                           initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          1 |          4 |          4 |          4 |          4 |    3.3e-05 |
                                             initialize/m2n.exchangeVertexDistribution |          1 |         34 |         34 |         34 |         34 |   0.000281 |
                                                            initialize/m2n.receiveData |          1 |        276 |        276 |        276 |        276 |    0.00228 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP |          1 |          3 |          3 |          3 |          3 |   2.48e-05 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   8.26e-06 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-CC |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-GP |          1 |          0 |          0 |          0 |          0 |          0 |
                                  initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          1 |          6 |          6 |          6 |          6 |   4.96e-05 |
                                                                        solver.advance |        204 |      82976 |        849 |         99 |        406 |      0.685 |
                                                                     solver.initialize |          1 |        736 |        736 |        736 |        736 |    0.00608 |


                                                                                  Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |     121079 |          0 |     121079 |          0 |          1 |
                                                                               advance |        253 |          0 |         23 |          0 |  0.0909091 |
                                                               advance/m2n.receiveData |        229 |          0 |        130 |          0 |   0.567686 |
                                                                  advance/m2n.sendData |         27 |          0 |          0 |          0 |          0 |
                       advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh |         17 |          0 |         17 |          0 |          1 |
    advance/map.nn.computeMapping.FromNutils-Mesh-CCToOpenFOAM-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                              advance/map.nn.mapData.FromNutils-Mesh-CCToOpenFOAM-Mesh |          0 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          0 |          0 |          0 |          0 |          0 |
                                                                             configure |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          4 |          0 |          4 |          0 |          1 |
                                                                            initialize |       1453 |          0 |       1453 |          0 |          1 |
                                                 initialize/m2n.acceptMasterConnection |       1118 |          0 |       1118 |          0 |          1 |
                                                 initialize/m2n.acceptSlavesConnection |         40 |          0 |         40 |          0 |          1 |
                                           initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          4 |          0 |          4 |          0 |          1 |
                                             initialize/m2n.exchangeVertexDistribution |         34 |          0 |         34 |          0 |          1 |
                                                            initialize/m2n.receiveData |        276 |          0 |        276 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP |          3 |          0 |          3 |          0 |          1 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToNutils-Mesh-GP.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToNutils-Mesh-GP |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-CC |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Nutils-Mesh-GP |          0 |          0 |          0 |          0 |          0 |
                                  initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          6 |          0 |          6 |          0 |          1 |
                                                                        solver.advance |        849 |          0 |         99 |          0 |   0.116608 |
                                                                     solver.initialize |        736 |          0 |        736 |          0 |          1 |
