Run finished at Sat Oct 24 03:50:49 2020
Global runtime       = 61283ms / 61.283s
Number of processors = 1
# Rank: 0

                                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |          1 |      61283 |      61283 |      61283 |      61283 |          1 |
                                                                                       advance |        302 |      57414 |        280 |         18 |        190 |      0.937 |
                                                          advance/cpl.computeQuasiNewtonUpdate |        202 |        706 |         19 |          0 |          3 |     0.0115 |
                                                                       advance/m2n.receiveData |        301 |      53383 |        267 |        143 |        177 |      0.871 |
                                                                          advance/m2n.sendData |        302 |       1332 |         18 |          0 |          4 |     0.0217 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |        301 |         26 |          0 |          0 |          0 |   0.000424 |
                                                                                     configure |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                                                                                      finalize |          1 |         77 |         77 |         77 |         77 |    0.00126 |
                                                                                    initialize |          1 |       2588 |       2588 |       2588 |       2588 |     0.0422 |
                                                         initialize/m2n.acceptMasterConnection |          1 |       2236 |       2236 |       2236 |       2236 |     0.0365 |
                                                         initialize/m2n.acceptSlavesConnection |          1 |         17 |         17 |         17 |         17 |   0.000277 |
                                                   initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          2 |          6 |          3 |          2 |          3 |   9.79e-05 |
                                                     initialize/m2n.exchangeVertexDistribution |          2 |          9 |          6 |          3 |          4 |   0.000147 |
                                                                    initialize/m2n.receiveData |          1 |        208 |        208 |        208 |        208 |    0.00339 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |         30 |         30 |         30 |         30 |    0.00049 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          1 |         11 |         11 |         11 |         11 |   0.000179 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |         23 |         23 |         23 |         23 |   0.000375 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          8 |          8 |          8 |          8 |   0.000131 |
                                                                                initializeData |          1 |          5 |          5 |          5 |          5 |   8.16e-05 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |        302 |       1142 |         18 |          1 |          3 |     0.0186 |
                                                                             solver.initialize |          1 |         26 |         26 |         26 |         26 |   0.000424 |


                                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |      61283 |          0 |      61283 |          0 |          1 |
                                                                                       advance |        280 |          0 |         18 |          0 |  0.0642857 |
                                                          advance/cpl.computeQuasiNewtonUpdate |         19 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.receiveData |        267 |          0 |        143 |          0 |   0.535581 |
                                                                          advance/m2n.sendData |         18 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                     configure |          1 |          0 |          1 |          0 |          1 |
                                                                                      finalize |         77 |          0 |         77 |          0 |          1 |
                                                                                    initialize |       2588 |          0 |       2588 |          0 |          1 |
                                                         initialize/m2n.acceptMasterConnection |       2236 |          0 |       2236 |          0 |          1 |
                                                         initialize/m2n.acceptSlavesConnection |         17 |          0 |         17 |          0 |          1 |
                                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                                     initialize/m2n.exchangeVertexDistribution |          6 |          0 |          3 |          0 |        0.5 |
                                                                    initialize/m2n.receiveData |        208 |          0 |        208 |          0 |          1 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |         30 |          0 |         30 |          0 |          1 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |         11 |          0 |         11 |          0 |          1 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |         23 |          0 |         23 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          8 |          0 |          8 |          0 |          1 |
                                                                                initializeData |          5 |          0 |          5 |          0 |          1 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |         18 |          0 |          1 |          0 |  0.0555556 |
                                                                             solver.initialize |         26 |          0 |         26 |          0 |          1 |
