Run finished at Sat Oct 24 03:57:23 2020
Global runtime       = 12022ms / 12.022s
Number of processors = 1
# Rank: 0

                                                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                            _GLOBAL |          1 |      12022 |      12022 |      12022 |      12022 |          1 |
                                                                                            advance |         10 |       4399 |        736 |         27 |        439 |      0.366 |
                                                                            advance/m2n.receiveData |         18 |       4162 |        707 |          0 |        231 |      0.346 |
                                                                               advance/m2n.sendData |         20 |         81 |          9 |          0 |          4 |    0.00674 |
                                  advance/map.nn.mapData.FromSolid-Interface-NodesToFluid-Interface |         18 |          2 |          0 |          0 |          0 |   0.000166 |
                                                                                          configure |          1 |          3 |          3 |          3 |          3 |    0.00025 |
                                                                                           finalize |          1 |         53 |         53 |         53 |         53 |    0.00441 |
                                                                                         initialize |          1 |       1272 |       1272 |       1272 |       1272 |      0.106 |
                                                              initialize/m2n.acceptMasterConnection |          1 |       1164 |       1164 |       1164 |       1164 |     0.0968 |
                                                              initialize/m2n.acceptSlavesConnection |          1 |         56 |         56 |         56 |         56 |    0.00466 |
                                                        initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                               initialize/m2n.buildCommunicationMap |          2 |          3 |          2 |          0 |          1 |    0.00025 |
                                                                initialize/m2n.createCommunications |          2 |         22 |         17 |          4 |         11 |    0.00183 |
                                                          initialize/m2n.exchangeVertexDistribution |          2 |         26 |         16 |          9 |         13 |    0.00216 |
                                                    initialize/partition.gatherMesh.Fluid-Interface |          1 |          4 |          4 |          4 |          4 |   0.000333 |
                                                   initialize/partition.prepareMesh.Fluid-Interface |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Solid-Interface-Nodes |          1 |         16 |         16 |         16 |         16 |    0.00133 |
                                                initialize/partition.sendGlobalMesh.Fluid-Interface |          1 |          1 |          1 |          1 |          1 |   8.32e-05 |
                                                                                     initializeData |          1 |        761 |        761 |        761 |        761 |     0.0633 |
                                                                     initializeData/m2n.receiveData |          2 |        659 |        658 |          0 |        329 |     0.0548 |
                                                                        initializeData/m2n.sendData |          2 |         20 |         15 |          4 |         10 |    0.00166 |
                    initializeData/map.nn.computeMapping.FromSolid-Interface-NodesToFluid-Interface |          1 |         59 |         59 |         59 |         59 |    0.00491 |
 initializeData/map.nn.computeMapping.FromSolid-Interface-NodesToFluid-Interface.getIndexOnVertices |          1 |          4 |          4 |          4 |          4 |   0.000333 |
                           initializeData/map.nn.mapData.FromSolid-Interface-NodesToFluid-Interface |          2 |          0 |          0 |          0 |          0 |          0 |
                                                                                     solver.advance |         10 |       4802 |        895 |          0 |        480 |      0.399 |
                                                                                  solver.initialize |          1 |        731 |        731 |        731 |        731 |     0.0608 |


                                                                                               Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                            _GLOBAL |      12022 |          0 |      12022 |          0 |          1 |
                                                                                            advance |        736 |          0 |         27 |          0 |  0.0366848 |
                                                                            advance/m2n.receiveData |        707 |          0 |          0 |          0 |          0 |
                                                                               advance/m2n.sendData |          9 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromSolid-Interface-NodesToFluid-Interface |          0 |          0 |          0 |          0 |          0 |
                                                                                          configure |          3 |          0 |          3 |          0 |          1 |
                                                                                           finalize |         53 |          0 |         53 |          0 |          1 |
                                                                                         initialize |       1272 |          0 |       1272 |          0 |          1 |
                                                              initialize/m2n.acceptMasterConnection |       1164 |          0 |       1164 |          0 |          1 |
                                                              initialize/m2n.acceptSlavesConnection |         56 |          0 |         56 |          0 |          1 |
                                                        initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                               initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |
                                                                initialize/m2n.createCommunications |         17 |          0 |          4 |          0 |   0.235294 |
                                                          initialize/m2n.exchangeVertexDistribution |         16 |          0 |          9 |          0 |     0.5625 |
                                                    initialize/partition.gatherMesh.Fluid-Interface |          4 |          0 |          4 |          0 |          1 |
                                                   initialize/partition.prepareMesh.Fluid-Interface |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Solid-Interface-Nodes |         16 |          0 |         16 |          0 |          1 |
                                                initialize/partition.sendGlobalMesh.Fluid-Interface |          1 |          0 |          1 |          0 |          1 |
                                                                                     initializeData |        761 |          0 |        761 |          0 |          1 |
                                                                     initializeData/m2n.receiveData |        658 |          0 |          0 |          0 |          0 |
                                                                        initializeData/m2n.sendData |         15 |          0 |          4 |          0 |   0.266667 |
                    initializeData/map.nn.computeMapping.FromSolid-Interface-NodesToFluid-Interface |         59 |          0 |         59 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromSolid-Interface-NodesToFluid-Interface.getIndexOnVertices |          4 |          0 |          4 |          0 |          1 |
                           initializeData/map.nn.mapData.FromSolid-Interface-NodesToFluid-Interface |          0 |          0 |          0 |          0 |          0 |
                                                                                     solver.advance |        895 |          0 |          0 |          0 |          0 |
                                                                                  solver.initialize |        731 |          0 |        731 |          0 |          1 |
