Run finished at Sat Oct 24 03:59:42 2020
Global runtime       = 81433ms / 81.433s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      81433 |      81433 |      81433 |      81433 |          1 |
                                             advance |        846 |      79923 |        125 |         14 |         94 |      0.981 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      44702 |         92 |          0 |         59 |      0.549 |
                             advance/m2n.receiveData |        845 |      24889 |         42 |         22 |         29 |      0.306 |
                                advance/m2n.sendData |        846 |       6875 |         16 |          0 |          8 |     0.0844 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          5 |          5 |          5 |          5 |   6.14e-05 |
                                          initialize |          1 |        690 |        690 |        690 |        690 |    0.00847 |
               initialize/m2n.acceptMasterConnection |          1 |        680 |        680 |        680 |        680 |    0.00835 |
               initialize/m2n.acceptSlavesConnection |          1 |          6 |          6 |          6 |          6 |   7.37e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.46e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          3 |          3 |          3 |          3 |   3.68e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         42 |         42 |         42 |         42 |   0.000516 |
                      initializeData/m2n.receiveData |          1 |         40 |         40 |         40 |         40 |   0.000491 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        710 |          2 |          0 |          0 |    0.00872 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |   3.68e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      81433 |          0 |      81433 |          0 |          1 |
                                             advance |        125 |          0 |         14 |          0 |      0.112 |
                advance/cpl.computeQuasiNewtonUpdate |         92 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         42 |          0 |         22 |          0 |    0.52381 |
                                advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          5 |          0 |          5 |          0 |          1 |
                                          initialize |        690 |          0 |        690 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        680 |          0 |        680 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          6 |          0 |          6 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         42 |          0 |         42 |          0 |          1 |
                      initializeData/m2n.receiveData |         40 |          0 |         40 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          2 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
