Run finished at Sat Oct 24 10:01:14 2020
Global runtime       = 60075ms / 60.075s
Number of processors = 1
# Rank: 0

                                                                       Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |          1 |      60075 |      60075 |      60075 |      60075 |          1 |
                                                                     advance |        302 |       4710 |         45 |          9 |         15 |     0.0784 |
                                                     advance/m2n.receiveData |        302 |        132 |         11 |          0 |          0 |     0.0022 |
                                                        advance/m2n.sendData |        302 |       2989 |         17 |          0 |          9 |     0.0498 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          1 |         13 |         13 |         13 |         13 |   0.000216 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   1.66e-05 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |        302 |         21 |          0 |          0 |          0 |    0.00035 |
                                                                   configure |          1 |          3 |          3 |          3 |          3 |   4.99e-05 |
                                                                    finalize |          1 |         15 |         15 |         15 |         15 |    0.00025 |
                                                                  initialize |          1 |        105 |        105 |        105 |        105 |    0.00175 |
                                 initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          2 |          1 |          0 |          0 |          0 |   1.66e-05 |
                                         initialize/m2n.createCommunications |          2 |         28 |         20 |          7 |         14 |   0.000466 |
                                   initialize/m2n.exchangeVertexDistribution |          2 |         41 |         29 |         11 |         20 |   0.000682 |
                                      initialize/m2n.requestMasterConnection |          1 |          8 |          8 |          8 |          8 |   0.000133 |
                                      initialize/m2n.requestSlavesConnection |          1 |         75 |         75 |         75 |         75 |    0.00125 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |          2 |          2 |          2 |          2 |   3.33e-05 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |          3 |          3 |          3 |          3 |   4.99e-05 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          1 |          7 |          7 |          7 |          7 |   0.000117 |
                                                              initializeData |          1 |          9 |          9 |          9 |          9 |    0.00015 |
                                                              solver.advance |        302 |      55001 |        265 |         82 |        182 |      0.916 |
                                                           solver.initialize |          1 |        195 |        195 |        195 |        195 |    0.00325 |


                                                                        Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |      60075 |          0 |      60075 |          0 |          1 |
                                                                     advance |         45 |          0 |          9 |          0 |        0.2 |
                                                     advance/m2n.receiveData |         11 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.sendData |         17 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |         13 |          0 |         13 |          0 |          1 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                   configure |          3 |          0 |          3 |          0 |          1 |
                                                                    finalize |         15 |          0 |         15 |          0 |          1 |
                                                                  initialize |        105 |          0 |        105 |          0 |          1 |
                                 initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |         20 |          0 |          7 |          0 |       0.35 |
                                   initialize/m2n.exchangeVertexDistribution |         29 |          0 |         11 |          0 |    0.37931 |
                                      initialize/m2n.requestMasterConnection |          8 |          0 |          8 |          0 |          1 |
                                      initialize/m2n.requestSlavesConnection |         75 |          0 |         75 |          0 |          1 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          2 |          0 |          2 |          0 |          1 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          3 |          0 |          3 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          7 |          0 |          7 |          0 |          1 |
                                                              initializeData |          9 |          0 |          9 |          0 |          1 |
                                                              solver.advance |        265 |          0 |         82 |          0 |   0.309434 |
                                                           solver.initialize |        195 |          0 |        195 |          0 |          1 |
