Run finished at Sat Oct 24 10:01:14 2020
Global runtime       = 60302ms / 60.302s
Number of processors = 1
# Rank: 0

                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |          1 |      60302 |      60302 |      60302 |      60302 |          1 |
                                                                        advance |        302 |      58458 |        284 |         15 |        193 |      0.969 |
                                           advance/cpl.computeQuasiNewtonUpdate |        202 |        572 |         13 |          0 |          2 |    0.00949 |
                                                        advance/m2n.receiveData |        301 |      55222 |        261 |        139 |        183 |      0.916 |
                                                           advance/m2n.sendData |        302 |        883 |         15 |          0 |          2 |     0.0146 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |        301 |         16 |          0 |          0 |          0 |   0.000265 |
                                                                      configure |          1 |          8 |          8 |          8 |          8 |   0.000133 |
                                                                       finalize |          1 |         81 |         81 |         81 |         81 |    0.00134 |
                                                                     initialize |          1 |        541 |        541 |        541 |        541 |    0.00897 |
                                          initialize/m2n.acceptMasterConnection |          1 |        232 |        232 |        232 |        232 |    0.00385 |
                                          initialize/m2n.acceptSlavesConnection |          1 |         73 |         73 |         73 |         73 |    0.00121 |
                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          2 |          1 |          0 |          0 |          0 |   1.66e-05 |
                                            initialize/m2n.createCommunications |          2 |         16 |          9 |          6 |          8 |   0.000265 |
                                      initialize/m2n.exchangeVertexDistribution |          2 |         51 |         38 |         13 |         25 |   0.000846 |
                                                     initialize/m2n.receiveData |          1 |        197 |        197 |        197 |        197 |    0.00327 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          1 |          9 |          9 |          9 |          9 |   0.000149 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   3.32e-05 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          1 |          2 |          2 |          2 |          2 |   3.32e-05 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          1 |         11 |         11 |         11 |         11 |   0.000182 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |          4 |          4 |          4 |          4 |   6.63e-05 |
                                                                 initializeData |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |        302 |       1166 |         10 |          1 |          3 |     0.0193 |
                                                              solver.initialize |          1 |         25 |         25 |         25 |         25 |   0.000415 |


                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |      60302 |          0 |      60302 |          0 |          1 |
                                                                        advance |        284 |          0 |         15 |          0 |  0.0528169 |
                                           advance/cpl.computeQuasiNewtonUpdate |         13 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.receiveData |        261 |          0 |        139 |          0 |   0.532567 |
                                                           advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                      configure |          8 |          0 |          8 |          0 |          1 |
                                                                       finalize |         81 |          0 |         81 |          0 |          1 |
                                                                     initialize |        541 |          0 |        541 |          0 |          1 |
                                          initialize/m2n.acceptMasterConnection |        232 |          0 |        232 |          0 |          1 |
                                          initialize/m2n.acceptSlavesConnection |         73 |          0 |         73 |          0 |          1 |
                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          9 |          0 |          6 |          0 |   0.666667 |
                                      initialize/m2n.exchangeVertexDistribution |         38 |          0 |         13 |          0 |   0.342105 |
                                                     initialize/m2n.receiveData |        197 |          0 |        197 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          9 |          0 |          9 |          0 |          1 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          2 |          0 |          2 |          0 |          1 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |         11 |          0 |         11 |          0 |          1 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          4 |          0 |          4 |          0 |          1 |
                                                                 initializeData |          3 |          0 |          3 |          0 |          1 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |         10 |          0 |          1 |          0 |        0.1 |
                                                              solver.initialize |         25 |          0 |         25 |          0 |          1 |
