Run finished at Sat Oct 24 10:03:12 2020
Global runtime       = 70158ms / 70.158s
Number of processors = 1
# Rank: 0

                                                                Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-----------------------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |          1 |      70158 |      70158 |      70158 |      70158 |          1 |
                                                              advance |        301 |      56037 |        436 |         35 |        186 |      0.799 |
                                 advance/cpl.computeQuasiNewtonUpdate |        201 |       9765 |         82 |          3 |         48 |      0.139 |
                                              advance/m2n.receiveData |        300 |      41200 |        426 |        108 |        137 |      0.587 |
                                                 advance/m2n.sendData |        301 |        733 |         15 |          0 |          2 |     0.0104 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |        300 |        953 |          9 |          1 |          3 |     0.0136 |
                                                            configure |          1 |          2 |          2 |          2 |          2 |   2.85e-05 |
                                                             finalize |          1 |         26 |         26 |         26 |         26 |   0.000371 |
                                                           initialize |          1 |        249 |        249 |        249 |        249 |    0.00355 |
                                initialize/m2n.acceptMasterConnection |          1 |          4 |          4 |          4 |          4 |    5.7e-05 |
                                initialize/m2n.acceptSlavesConnection |          1 |         43 |         43 |         43 |         43 |   0.000613 |
                          initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          3 |          2 |          1 |          0 |          0 |   2.85e-05 |
                                  initialize/m2n.createCommunications |          3 |         15 |          9 |          2 |          5 |   0.000214 |
                            initialize/m2n.exchangeVertexDistribution |          3 |         22 |         13 |          4 |          7 |   0.000314 |
                                           initialize/m2n.receiveData |          1 |        134 |        134 |        134 |        134 |    0.00191 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |          1 |         27 |         27 |         27 |         27 |   0.000385 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          1 |          7 |          7 |          7 |          7 |   9.98e-05 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          1 |          1 |          1 |          1 |   1.43e-05 |
                          initialize/partition.prepareMesh.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.43e-05 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   4.28e-05 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          1 |          4 |          4 |          4 |          4 |    5.7e-05 |
                                                       solver.advance |        301 |      13594 |         84 |         36 |         45 |      0.194 |
                                                    solver.initialize |          1 |        205 |        205 |        205 |        205 |    0.00292 |


                                                                 Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
----------------------------------------------------------------------------------------------------------------------------------------
                                                              _GLOBAL |      70158 |          0 |      70158 |          0 |          1 |
                                                              advance |        436 |          0 |         35 |          0 |  0.0802752 |
                                 advance/cpl.computeQuasiNewtonUpdate |         82 |          0 |          3 |          0 |  0.0365854 |
                                              advance/m2n.receiveData |        426 |          0 |        108 |          0 |   0.253521 |
                                                 advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
           advance/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          9 |          0 |          1 |          0 |   0.111111 |
                                                            configure |          2 |          0 |          2 |          0 |          1 |
                                                             finalize |         26 |          0 |         26 |          0 |          1 |
                                                           initialize |        249 |          0 |        249 |          0 |          1 |
                                initialize/m2n.acceptMasterConnection |          4 |          0 |          4 |          0 |          1 |
                                initialize/m2n.acceptSlavesConnection |         43 |          0 |         43 |          0 |          1 |
                          initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                 initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |
                                  initialize/m2n.createCommunications |          9 |          0 |          2 |          0 |   0.222222 |
                            initialize/m2n.exchangeVertexDistribution |         13 |          0 |          4 |          0 |   0.307692 |
                                           initialize/m2n.receiveData |        134 |          0 |        134 |          0 |          1 |
 initialize/map.rbf.computeMapping.FromFluid-Mesh-CentersToSolid_mesh |         27 |          0 |         27 |          0 |          1 |
        initialize/map.rbf.mapData.FromFluid-Mesh-CentersToSolid_mesh |          7 |          0 |          7 |          0 |          1 |
                           initialize/partition.gatherMesh.Solid_mesh |          1 |          0 |          1 |          0 |          1 |
                          initialize/partition.prepareMesh.Solid_mesh |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.receiveGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
              initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                       initialize/partition.sendGlobalMesh.Solid_mesh |          4 |          0 |          4 |          0 |          1 |
                                                       solver.advance |         84 |          0 |         36 |          0 |   0.428571 |
                                                    solver.initialize |        205 |          0 |        205 |          0 |          1 |
