Run finished at Sat Oct 24 10:03:12 2020
Global runtime       = 70106ms / 70.106s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      70106 |      70106 |      70106 |      70106 |          1 |
                                                         advance |        301 |      34413 |        421 |         75 |        114 |      0.491 |
                                         advance/m2n.receiveData |        301 |         87 |          2 |          0 |          0 |    0.00124 |
                                            advance/m2n.sendData |        301 |       1973 |         15 |          0 |          6 |     0.0281 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |        311 |        311 |        311 |        311 |    0.00444 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       5149 |         35 |         14 |         17 |     0.0734 |
                                                       configure |          1 |          1 |          1 |          1 |          1 |   1.43e-05 |
                                                        finalize |          1 |          5 |          5 |          5 |          5 |   7.13e-05 |
                                                      initialize |          1 |        165 |        165 |        165 |        165 |    0.00235 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          1 |          1 |          0 |          0 |   1.43e-05 |
                             initialize/m2n.createCommunications |          3 |         10 |          6 |          1 |          3 |   0.000143 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         29 |         19 |          3 |          9 |   0.000414 |
                          initialize/m2n.requestMasterConnection |          1 |         96 |         96 |         96 |         96 |    0.00137 |
                          initialize/m2n.requestSlavesConnection |          1 |         44 |         44 |         44 |         44 |   0.000628 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.43e-05 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          6 |          6 |          6 |          6 |   8.56e-05 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.43e-05 |
                                                  initializeData |          1 |          7 |          7 |          7 |          7 |   9.98e-05 |
                                                  solver.advance |        301 |      35317 |        161 |         48 |        117 |      0.504 |
                                               solver.initialize |          1 |        143 |        143 |        143 |        143 |    0.00204 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      70106 |          0 |      70106 |          0 |          1 |
                                                         advance |        421 |          0 |         75 |          0 |   0.178147 |
                                         advance/m2n.receiveData |          2 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |        311 |          0 |        311 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |         35 |          0 |         14 |          0 |        0.4 |
                                                       configure |          1 |          0 |          1 |          0 |          1 |
                                                        finalize |          5 |          0 |          5 |          0 |          1 |
                                                      initialize |        165 |          0 |        165 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |          6 |          0 |          1 |          0 |   0.166667 |
                       initialize/m2n.exchangeVertexDistribution |         19 |          0 |          3 |          0 |   0.157895 |
                          initialize/m2n.requestMasterConnection |         96 |          0 |         96 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         44 |          0 |         44 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          6 |          0 |          6 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                                  initializeData |          7 |          0 |          7 |          0 |          1 |
                                                  solver.advance |        161 |          0 |         48 |          0 |   0.298137 |
                                               solver.initialize |        143 |          0 |        143 |          0 |          1 |
