Run finished at Sat Oct 24 10:08:02 2020
Global runtime       = 46680ms / 46.68s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      46680 |      46680 |      46680 |      46680 |          1 |
                                                         advance |        301 |      11767 |        124 |         20 |         39 |      0.252 |
                                         advance/m2n.receiveData |        301 |        108 |          7 |          0 |          0 |    0.00231 |
                                            advance/m2n.sendData |        301 |       1676 |         15 |          0 |          5 |     0.0359 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         45 |         45 |         45 |         45 |   0.000964 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       1138 |         17 |          2 |          3 |     0.0244 |
                                                       configure |          1 |          5 |          5 |          5 |          5 |   0.000107 |
                                                        finalize |          1 |          4 |          4 |          4 |          4 |   8.57e-05 |
                                                      initialize |          1 |        117 |        117 |        117 |        117 |    0.00251 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          1 |          0 |          0 |          0 |   2.14e-05 |
                             initialize/m2n.createCommunications |          3 |         30 |         16 |          4 |         10 |   0.000643 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         50 |         25 |          5 |         16 |    0.00107 |
                          initialize/m2n.requestMasterConnection |          1 |          7 |          7 |          7 |          7 |    0.00015 |
                          initialize/m2n.requestSlavesConnection |          1 |         89 |         89 |         89 |         89 |    0.00191 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          1 |          1 |          1 |          1 |   2.14e-05 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          2 |          2 |          2 |          2 |   4.28e-05 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          5 |          5 |          5 |          5 |   0.000107 |
                                                  initializeData |          1 |          3 |          3 |          3 |          3 |   6.43e-05 |
                                                  solver.advance |        301 |      34588 |        282 |         44 |        114 |      0.741 |
                                               solver.initialize |          1 |        157 |        157 |        157 |        157 |    0.00336 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      46680 |          0 |      46680 |          0 |          1 |
                                                         advance |        124 |          0 |         20 |          0 |    0.16129 |
                                         advance/m2n.receiveData |          7 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         45 |          0 |         45 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |         17 |          0 |          2 |          0 |   0.117647 |
                                                       configure |          5 |          0 |          5 |          0 |          1 |
                                                        finalize |          4 |          0 |          4 |          0 |          1 |
                                                      initialize |        117 |          0 |        117 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |         16 |          0 |          4 |          0 |       0.25 |
                       initialize/m2n.exchangeVertexDistribution |         25 |          0 |          5 |          0 |        0.2 |
                          initialize/m2n.requestMasterConnection |          7 |          0 |          7 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         89 |          0 |         89 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          0 |          1 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          2 |          0 |          2 |          0 |          1 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          5 |          0 |          5 |          0 |          1 |
                                                  initializeData |          3 |          0 |          3 |          0 |          1 |
                                                  solver.advance |        282 |          0 |         44 |          0 |   0.156028 |
                                               solver.initialize |        157 |          0 |        157 |          0 |          1 |
