Run finished at Sat Oct 24 10:13:30 2020
Global runtime       = 63032ms / 63.032s
Number of processors = 1
# Rank: 0

                                                                                      Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    _GLOBAL |          1 |      63032 |      63032 |      63032 |      63032 |          1 |
                                                                                    advance |        302 |       5596 |        179 |          8 |         18 |     0.0888 |
                                                                    advance/m2n.receiveData |        302 |        146 |          9 |          0 |          0 |    0.00232 |
                                                                       advance/m2n.sendData |        302 |       2639 |         14 |          0 |          8 |     0.0419 |
                     advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers |          1 |        107 |        107 |        107 |        107 |     0.0017 |
 advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers.getIndexOnTriangles |          1 |          3 |          3 |          3 |          3 |   4.76e-05 |
                            advance/map.np.mapData.FromSolid-Mesh-NodesToFluid-Mesh-Centers |        302 |         77 |         10 |          0 |          0 |    0.00122 |
                                                                                  configure |          1 |          2 |          2 |          2 |          2 |   3.17e-05 |
                                                                                   finalize |          1 |          6 |          6 |          6 |          6 |   9.52e-05 |
                                                                                 initialize |          1 |       1704 |       1704 |       1704 |       1704 |      0.027 |
                                                initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                       initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                        initialize/m2n.createCommunications |          2 |          6 |          3 |          2 |          3 |   9.52e-05 |
                                                  initialize/m2n.exchangeVertexDistribution |          2 |         10 |          7 |          3 |          5 |   0.000159 |
                                                     initialize/m2n.requestMasterConnection |          1 |       1560 |       1560 |       1560 |       1560 |     0.0247 |
                                                     initialize/m2n.requestSlavesConnection |          1 |         18 |         18 |         18 |         18 |   0.000286 |
                                           initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |         50 |         50 |         50 |         50 |   0.000793 |
                                        initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.59e-05 |
                                          initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          2 |          2 |          2 |          2 |   3.17e-05 |
                                    initialize/partition.receiveGlobalMesh.Solid-Mesh-Nodes |          1 |         18 |         18 |         18 |         18 |   0.000286 |
                                       initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |         10 |         10 |         10 |         10 |   0.000159 |
                                                                             initializeData |          1 |          6 |          6 |          6 |          6 |   9.52e-05 |
                                                                             solver.advance |        302 |      54938 |        238 |         71 |        181 |      0.872 |
                                                                          solver.initialize |          1 |        748 |        748 |        748 |        748 |     0.0119 |


                                                                                       Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    _GLOBAL |      63032 |          0 |      63032 |          0 |          1 |
                                                                                    advance |        179 |          0 |          8 |          0 |  0.0446927 |
                                                                    advance/m2n.receiveData |          9 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                     advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers |        107 |          0 |        107 |          0 |          1 |
 advance/map.np.computeMapping.FromSolid-Mesh-NodesToFluid-Mesh-Centers.getIndexOnTriangles |          3 |          0 |          3 |          0 |          1 |
                            advance/map.np.mapData.FromSolid-Mesh-NodesToFluid-Mesh-Centers |         10 |          0 |          0 |          0 |          0 |
                                                                                  configure |          2 |          0 |          2 |          0 |          1 |
                                                                                   finalize |          6 |          0 |          6 |          0 |          1 |
                                                                                 initialize |       1704 |          0 |       1704 |          0 |          1 |
                                                initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                       initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                        initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                                  initialize/m2n.exchangeVertexDistribution |          7 |          0 |          3 |          0 |   0.428571 |
                                                     initialize/m2n.requestMasterConnection |       1560 |          0 |       1560 |          0 |          1 |
                                                     initialize/m2n.requestSlavesConnection |         18 |          0 |         18 |          0 |          1 |
                                           initialize/partition.gatherMesh.Fluid-Mesh-Nodes |         50 |          0 |         50 |          0 |          1 |
                                        initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                                          initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          2 |          0 |          2 |          0 |          1 |
                                    initialize/partition.receiveGlobalMesh.Solid-Mesh-Nodes |         18 |          0 |         18 |          0 |          1 |
                                       initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |         10 |          0 |         10 |          0 |          1 |
                                                                             initializeData |          6 |          0 |          6 |          0 |          1 |
                                                                             solver.advance |        238 |          0 |         71 |          0 |   0.298319 |
                                                                          solver.initialize |        748 |          0 |        748 |          0 |          1 |
