Run finished at Sat Oct 24 10:13:30 2020
Global runtime       = 60985ms / 60.985s
Number of processors = 1
# Rank: 0

                                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |          1 |      60985 |      60985 |      60985 |      60985 |          1 |
                                                                                       advance |        302 |      59203 |        287 |         12 |        196 |      0.971 |
                                                          advance/cpl.computeQuasiNewtonUpdate |        202 |        705 |         20 |          0 |          3 |     0.0116 |
                                                                       advance/m2n.receiveData |        301 |      54652 |        267 |        143 |        181 |      0.896 |
                                                                          advance/m2n.sendData |        302 |       1830 |         16 |          0 |          6 |       0.03 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |        301 |         26 |          0 |          0 |          0 |   0.000426 |
                                                                                     configure |          1 |          4 |          4 |          4 |          4 |   6.56e-05 |
                                                                                      finalize |          1 |         87 |         87 |         87 |         87 |    0.00143 |
                                                                                    initialize |          1 |        387 |        387 |        387 |        387 |    0.00635 |
                                                         initialize/m2n.acceptMasterConnection |          1 |         38 |         38 |         38 |         38 |   0.000623 |
                                                         initialize/m2n.acceptSlavesConnection |          1 |         16 |         16 |         16 |         16 |   0.000262 |
                                                   initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          2 |          6 |          3 |          2 |          3 |   9.84e-05 |
                                                     initialize/m2n.exchangeVertexDistribution |          2 |          8 |          4 |          3 |          4 |   0.000131 |
                                                                    initialize/m2n.receiveData |          1 |        191 |        191 |        191 |        191 |    0.00313 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |         28 |         28 |         28 |         28 |   0.000459 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          1 |          9 |          9 |          9 |          9 |   0.000148 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          5 |          5 |          5 |          5 |    8.2e-05 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   1.64e-05 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |         59 |         59 |         59 |         59 |   0.000967 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.64e-05 |
                                                                                initializeData |          1 |         12 |         12 |         12 |         12 |   0.000197 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          8 |          8 |          8 |          8 |   0.000131 |
                                                                                solver.advance |        302 |       1205 |         11 |          1 |          3 |     0.0198 |
                                                                             solver.initialize |          1 |         61 |         61 |         61 |         61 |      0.001 |


                                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |      60985 |          0 |      60985 |          0 |          1 |
                                                                                       advance |        287 |          0 |         12 |          0 |  0.0418118 |
                                                          advance/cpl.computeQuasiNewtonUpdate |         20 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.receiveData |        267 |          0 |        143 |          0 |   0.535581 |
                                                                          advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                     configure |          4 |          0 |          4 |          0 |          1 |
                                                                                      finalize |         87 |          0 |         87 |          0 |          1 |
                                                                                    initialize |        387 |          0 |        387 |          0 |          1 |
                                                         initialize/m2n.acceptMasterConnection |         38 |          0 |         38 |          0 |          1 |
                                                         initialize/m2n.acceptSlavesConnection |         16 |          0 |         16 |          0 |          1 |
                                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                                     initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                                                                    initialize/m2n.receiveData |        191 |          0 |        191 |          0 |          1 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |         28 |          0 |         28 |          0 |          1 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          9 |          0 |          9 |          0 |          1 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          5 |          0 |          5 |          0 |          1 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |         59 |          0 |         59 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                                                                initializeData |         12 |          0 |         12 |          0 |          1 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          8 |          0 |          8 |          0 |          1 |
                                                                                solver.advance |         11 |          0 |          1 |          0 |  0.0909091 |
                                                                             solver.initialize |         61 |          0 |         61 |          0 |          1 |
