Run finished at Sat Oct 24 10:18:03 2020
Global runtime       = 78980ms / 78.98s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      78980 |      78980 |      78980 |      78980 |          1 |
                                             advance |        846 |      77635 |        124 |         19 |         91 |      0.983 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      43483 |         93 |          0 |         58 |      0.551 |
                             advance/m2n.receiveData |        845 |      24127 |         43 |         21 |         28 |      0.305 |
                                advance/m2n.sendData |        846 |       6987 |         14 |          0 |          8 |     0.0885 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          2 |          2 |          2 |          2 |   2.53e-05 |
                                          initialize |          1 |        605 |        605 |        605 |        605 |    0.00766 |
               initialize/m2n.acceptMasterConnection |          1 |        596 |        596 |        596 |        596 |    0.00755 |
               initialize/m2n.acceptSlavesConnection |          1 |          5 |          5 |          5 |          5 |   6.33e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.53e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.53e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         40 |         40 |         40 |         40 |   0.000506 |
                      initializeData/m2n.receiveData |          1 |         38 |         38 |         38 |         38 |   0.000481 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        641 |          6 |          0 |          0 |    0.00812 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |    3.8e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      78980 |          0 |      78980 |          0 |          1 |
                                             advance |        124 |          0 |         19 |          0 |   0.153226 |
                advance/cpl.computeQuasiNewtonUpdate |         93 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         43 |          0 |         21 |          0 |   0.488372 |
                                advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          2 |          0 |          2 |          0 |          1 |
                                          initialize |        605 |          0 |        605 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        596 |          0 |        596 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          5 |          0 |          5 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         40 |          0 |         40 |          0 |          1 |
                      initializeData/m2n.receiveData |         38 |          0 |         38 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          6 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
