Run finished at Sat Oct 24 10:21:13 2020
Global runtime       = 144029ms / 144.029s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     144029 |     144029 |     144029 |     144029 |          1 |
                                                                       advance |        195 |       9391 |         92 |          8 |         48 |     0.0652 |
                                                       advance/m2n.receiveData |        195 |         41 |          3 |          0 |          0 |   0.000285 |
                                                          advance/m2n.sendData |        195 |        961 |         14 |          0 |          4 |    0.00667 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          6 |          6 |          6 |          6 |   4.17e-05 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          8 |          8 |          8 |          8 |   5.55e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   6.94e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         17 |          0 |          0 |          0 |   0.000118 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         12 |          0 |          0 |          0 |   8.33e-05 |
                                                                     configure |          1 |          1 |          1 |          1 |          1 |   6.94e-06 |
                                                                      finalize |          1 |         15 |         15 |         15 |         15 |   0.000104 |
                                                                    initialize |          1 |         25 |         25 |         25 |         25 |   0.000174 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          3 |          3 |          3 |          3 |   2.08e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |         13 |         13 |         13 |         13 |   9.03e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          2 |          2 |          2 |          2 |   1.39e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |         17 |         17 |         17 |         17 |   0.000118 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          2 |          2 |          2 |          2 |   1.39e-05 |
                                                                solver.advance |        195 |     134291 |       1610 |         26 |        688 |      0.932 |
                                                             solver.initialize |          1 |        273 |        273 |        273 |        273 |     0.0019 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     144029 |          0 |     144029 |          0 |          1 |
                                                                       advance |         92 |          0 |          8 |          0 |  0.0869565 |
                                                       advance/m2n.receiveData |          3 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          6 |          0 |          6 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          8 |          0 |          8 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          1 |          0 |          1 |          0 |          1 |
                                                                      finalize |         15 |          0 |         15 |          0 |          1 |
                                                                    initialize |         25 |          0 |         25 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          3 |          0 |          3 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |         13 |          0 |         13 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          2 |          0 |          2 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         17 |          0 |         17 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          2 |          0 |          2 |          0 |          1 |
                                                                solver.advance |       1610 |          0 |         26 |          0 |  0.0161491 |
                                                             solver.initialize |        273 |          0 |        273 |          0 |          1 |
