Run finished at Sat Oct 24 10:20:22 2020
Global runtime       = 142676ms / 142.676s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     142676 |     142676 |     142676 |     142676 |          1 |
                                                                       advance |        195 |       9760 |        109 |         10 |         50 |     0.0684 |
                                                       advance/m2n.receiveData |        195 |         44 |          3 |          0 |          0 |   0.000308 |
                                                          advance/m2n.sendData |        195 |       1146 |         15 |          0 |          5 |    0.00803 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          1 |          1 |          1 |          1 |   7.01e-06 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          5 |          5 |          5 |          5 |    3.5e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   7.01e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         15 |          0 |          0 |          0 |   0.000105 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         11 |          0 |          0 |          0 |   7.71e-05 |
                                                                     configure |          1 |          4 |          4 |          4 |          4 |    2.8e-05 |
                                                                      finalize |          1 |         13 |         13 |         13 |         13 |   9.11e-05 |
                                                                    initialize |          1 |         25 |         25 |         25 |         25 |   0.000175 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |    1.4e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |         12 |         12 |         12 |         12 |   8.41e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |    2.1e-05 |
                                        initialize/m2n.requestSlavesConnection |          1 |         18 |         18 |         18 |         18 |   0.000126 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          1 |          1 |          1 |          1 |   7.01e-06 |
                                                                solver.advance |        195 |     132590 |       1583 |         23 |        679 |      0.929 |
                                                             solver.initialize |          1 |        255 |        255 |        255 |        255 |    0.00179 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     142676 |          0 |     142676 |          0 |          1 |
                                                                       advance |        109 |          0 |         10 |          0 |  0.0917431 |
                                                       advance/m2n.receiveData |          3 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          0 |          1 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          5 |          0 |          5 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          4 |          0 |          4 |          0 |          1 |
                                                                      finalize |         13 |          0 |         13 |          0 |          1 |
                                                                    initialize |         25 |          0 |         25 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |         12 |          0 |         12 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         18 |          0 |         18 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          0 |          1 |          0 |          1 |
                                                                solver.advance |       1583 |          0 |         23 |          0 |  0.0145294 |
                                                             solver.initialize |        255 |          0 |        255 |          0 |          1 |
