Run finished at Sat Nov  7 01:55:07 2020
Global runtime       = 61231ms / 61.231s
Number of processors = 1
# Rank: 0

                                                                       Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |          1 |      61231 |      61231 |      61231 |      61231 |          1 |
                                                                     advance |        302 |       4765 |         50 |          8 |         15 |     0.0778 |
                                                     advance/m2n.receiveData |        302 |        136 |          8 |          0 |          0 |    0.00222 |
                                                        advance/m2n.sendData |        302 |       2808 |         16 |          0 |          9 |     0.0459 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |          1 |         24 |         24 |         24 |         24 |   0.000392 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   1.63e-05 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |        302 |         28 |          6 |          0 |          0 |   0.000457 |
                                                                   configure |          1 |          3 |          3 |          3 |          3 |    4.9e-05 |
                                                                    finalize |          1 |         14 |         14 |         14 |         14 |   0.000229 |
                                                                  initialize |          1 |         79 |         79 |         79 |         79 |    0.00129 |
                                 initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          2 |          1 |          0 |          0 |          0 |   1.63e-05 |
                                         initialize/m2n.createCommunications |          2 |          4 |          3 |          1 |          2 |   6.53e-05 |
                                   initialize/m2n.exchangeVertexDistribution |          2 |         15 |         11 |          4 |          7 |   0.000245 |
                                      initialize/m2n.requestMasterConnection |          1 |         11 |         11 |         11 |         11 |    0.00018 |
                                      initialize/m2n.requestSlavesConnection |          1 |         22 |         22 |         22 |         22 |   0.000359 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |          1 |         16 |         16 |         16 |         16 |   0.000261 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |          1 |         13 |         13 |         13 |         13 |   0.000212 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          1 |          8 |          8 |          8 |          8 |   0.000131 |
                                                              initializeData |          1 |          7 |          7 |          7 |          7 |   0.000114 |
                                                              solver.advance |        302 |      56135 |        357 |         73 |        185 |      0.917 |
                                                           solver.initialize |          1 |        189 |        189 |        189 |        189 |    0.00309 |


                                                                        Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                                                     _GLOBAL |      61231 |          0 |      61231 |          0 |          1 |
                                                                     advance |         50 |          0 |          8 |          0 |       0.16 |
                                                     advance/m2n.receiveData |          8 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh |         24 |          0 |         24 |          0 |          1 |
 advance/map.nn.computeMapping.FromSolid-MeshToFluid-Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromSolid-MeshToFluid-Mesh |          6 |          0 |          0 |          0 |          0 |
                                                                   configure |          3 |          0 |          3 |          0 |          1 |
                                                                    finalize |         14 |          0 |         14 |          0 |          1 |
                                                                  initialize |         79 |          0 |         79 |          0 |          1 |
                                 initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                         initialize/m2n.createCommunications |          3 |          0 |          1 |          0 |   0.333333 |
                                   initialize/m2n.exchangeVertexDistribution |         11 |          0 |          4 |          0 |   0.363636 |
                                      initialize/m2n.requestMasterConnection |         11 |          0 |         11 |          0 |          1 |
                                      initialize/m2n.requestSlavesConnection |         22 |          0 |         22 |          0 |          1 |
                                  initialize/partition.gatherMesh.Fluid-Mesh |         16 |          0 |         16 |          0 |          1 |
                                 initialize/partition.prepareMesh.Fluid-Mesh |          0 |          0 |          0 |          0 |          0 |
                           initialize/partition.receiveGlobalMesh.Solid-Mesh |         13 |          0 |         13 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.Fluid-Mesh |          8 |          0 |          8 |          0 |          1 |
                                                              initializeData |          7 |          0 |          7 |          0 |          1 |
                                                              solver.advance |        357 |          0 |         73 |          0 |   0.204482 |
                                                           solver.initialize |        189 |          0 |        189 |          0 |          1 |
