Run finished at Sat Nov  7 01:55:07 2020
Global runtime       = 62737ms / 62.737s
Number of processors = 1
# Rank: 0

                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |          1 |      62737 |      62737 |      62737 |      62737 |          1 |
                                                                        advance |        302 |      59660 |        370 |          8 |        197 |      0.951 |
                                           advance/cpl.computeQuasiNewtonUpdate |        202 |        611 |         12 |          0 |          3 |    0.00974 |
                                                        advance/m2n.receiveData |        301 |      56589 |        359 |        139 |        188 |      0.902 |
                                                           advance/m2n.sendData |        302 |        700 |         14 |          0 |          2 |     0.0112 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |        301 |         15 |          0 |          0 |          0 |   0.000239 |
                                                                      configure |          1 |          1 |          1 |          1 |          1 |   1.59e-05 |
                                                                       finalize |          1 |         83 |         83 |         83 |         83 |    0.00132 |
                                                                     initialize |          1 |       1799 |       1799 |       1799 |       1799 |     0.0287 |
                                          initialize/m2n.acceptMasterConnection |          1 |       1536 |       1536 |       1536 |       1536 |     0.0245 |
                                          initialize/m2n.acceptSlavesConnection |          1 |         16 |         16 |         16 |         16 |   0.000255 |
                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          2 |          5 |          3 |          2 |          2 |   7.97e-05 |
                                      initialize/m2n.exchangeVertexDistribution |          2 |          9 |          6 |          3 |          4 |   0.000143 |
                                                     initialize/m2n.receiveData |          1 |        185 |        185 |        185 |        185 |    0.00295 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          1 |          5 |          5 |          5 |          5 |   7.97e-05 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          1 |          2 |          2 |          2 |          2 |   3.19e-05 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |          1 |         30 |         30 |         30 |         30 |   0.000478 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |          1 |         10 |         10 |         10 |         10 |   0.000159 |
                                                                 initializeData |          1 |          3 |          3 |          3 |          3 |   4.78e-05 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |        302 |       1162 |         15 |          1 |          3 |     0.0185 |
                                                              solver.initialize |          1 |          8 |          8 |          8 |          8 |   0.000128 |


                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------
                                                                        _GLOBAL |      62737 |          0 |      62737 |          0 |          1 |
                                                                        advance |        370 |          0 |          8 |          0 |  0.0216216 |
                                           advance/cpl.computeQuasiNewtonUpdate |         12 |          0 |          0 |          0 |          0 |
                                                        advance/m2n.receiveData |        359 |          0 |        139 |          0 |   0.387187 |
                                                           advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                      configure |          1 |          0 |          1 |          0 |          1 |
                                                                       finalize |         83 |          0 |         83 |          0 |          1 |
                                                                     initialize |       1799 |          0 |       1799 |          0 |          1 |
                                          initialize/m2n.acceptMasterConnection |       1536 |          0 |       1536 |          0 |          1 |
                                          initialize/m2n.acceptSlavesConnection |         16 |          0 |         16 |          0 |          1 |
                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                            initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                      initialize/m2n.exchangeVertexDistribution |          6 |          0 |          3 |          0 |        0.5 |
                                                     initialize/m2n.receiveData |        185 |          0 |        185 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh |          5 |          0 |          5 |          0 |          1 |
 initialize/map.nn.computeMapping.FromFluid-MeshToSolid-Mesh.getIndexOnVertices |          2 |          0 |          2 |          0 |          1 |
                           initialize/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                     initialize/partition.gatherMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                    initialize/partition.prepareMesh.Solid-Mesh |          0 |          0 |          0 |          0 |          0 |
                              initialize/partition.receiveGlobalMesh.Fluid-Mesh |         30 |          0 |         30 |          0 |          1 |
                                 initialize/partition.sendGlobalMesh.Solid-Mesh |         10 |          0 |         10 |          0 |          1 |
                                                                 initializeData |          3 |          0 |          3 |          0 |          1 |
                       initializeData/map.nn.mapData.FromFluid-MeshToSolid-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                 solver.advance |         15 |          0 |          1 |          0 |  0.0666667 |
                                                              solver.initialize |          8 |          0 |          8 |          0 |          1 |
