Run finished at Sat Nov  7 02:06:20 2020
Global runtime       = 34413ms / 34.413s
Number of processors = 1
# Rank: 0

                                                                                                  Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |          1 |      34413 |      34413 |      34413 |      34413 |          1 |
                                                                                                advance |          1 |        941 |        941 |        941 |        941 |     0.0273 |
                                                                                advance/m2n.receiveData |          2 |          1 |          0 |          0 |          0 |   2.91e-05 |
                                                                                   advance/m2n.sendData |          2 |          4 |          2 |          2 |          2 |   0.000116 |
                                  advance/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          2 |         17 |          9 |          8 |          8 |   0.000494 |
                                                                                              configure |          1 |          2 |          2 |          2 |          2 |   5.81e-05 |
                                                                                               finalize |          1 |       1805 |       1805 |       1805 |       1805 |     0.0525 |
                                                                                             initialize |          1 |        837 |        837 |        837 |        837 |     0.0243 |
                                                                  initialize/m2n.acceptMasterConnection |          1 |          4 |          4 |          4 |          4 |   0.000116 |
                                                                  initialize/m2n.acceptSlavesConnection |          1 |        206 |        206 |        206 |        206 |    0.00599 |
                                                            initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |          2 |         84 |         54 |         30 |         42 |    0.00244 |
                                                                    initialize/m2n.createCommunications |          2 |         15 |         12 |          2 |          7 |   0.000436 |
                                                              initialize/m2n.exchangeVertexDistribution |          2 |        105 |        100 |          4 |         52 |    0.00305 |
                                                   initialize/partition.gatherMesh.Outer-Fluid-to-Solid |          1 |        157 |        157 |        157 |        157 |    0.00456 |
                                                  initialize/partition.prepareMesh.Outer-Fluid-to-Solid |          1 |         26 |         26 |         26 |         26 |   0.000756 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Outer-Fluid |          1 |        300 |        300 |        300 |        300 |    0.00872 |
                                               initialize/partition.sendGlobalMesh.Outer-Fluid-to-Solid |          1 |         34 |         34 |         34 |         34 |   0.000988 |
                                                                                         initializeData |          1 |       9352 |       9352 |       9352 |       9352 |      0.272 |
                                                                         initializeData/m2n.receiveData |          2 |         15 |         14 |          1 |          7 |   0.000436 |
                                                                            initializeData/m2n.sendData |          2 |          5 |          3 |          2 |          2 |   0.000145 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          1 |       7838 |       7838 |       7838 |       7838 |      0.228 |
 initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid.getIndexOnVertices |          1 |        214 |        214 |        214 |        214 |    0.00622 |
                           initializeData/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          2 |         34 |         17 |         17 |         17 |   0.000988 |
                                                                                         solver.advance |          1 |         14 |         14 |         14 |         14 |   0.000407 |
                                                                                      solver.initialize |          1 |      21460 |      21460 |      21460 |      21460 |      0.624 |


                                                                                                   Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                _GLOBAL |      34413 |          0 |      34413 |          0 |          1 |
                                                                                                advance |        941 |          0 |        941 |          0 |          1 |
                                                                                advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                                   advance/m2n.sendData |          2 |          0 |          2 |          0 |          1 |
                                  advance/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |          9 |          0 |          8 |          0 |   0.888889 |
                                                                                              configure |          2 |          0 |          2 |          0 |          1 |
                                                                                               finalize |       1805 |          0 |       1805 |          0 |          1 |
                                                                                             initialize |        837 |          0 |        837 |          0 |          1 |
                                                                  initialize/m2n.acceptMasterConnection |          4 |          0 |          4 |          0 |          1 |
                                                                  initialize/m2n.acceptSlavesConnection |        206 |          0 |        206 |          0 |          1 |
                                                            initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                                   initialize/m2n.buildCommunicationMap |         54 |          0 |         30 |          0 |   0.555556 |
                                                                    initialize/m2n.createCommunications |         12 |          0 |          2 |          0 |   0.166667 |
                                                              initialize/m2n.exchangeVertexDistribution |        100 |          0 |          4 |          0 |       0.04 |
                                                   initialize/partition.gatherMesh.Outer-Fluid-to-Solid |        157 |          0 |        157 |          0 |          1 |
                                                  initialize/partition.prepareMesh.Outer-Fluid-to-Solid |         26 |          0 |         26 |          0 |          1 |
                                            initialize/partition.receiveGlobalMesh.Solid-to-Outer-Fluid |        300 |          0 |        300 |          0 |          1 |
                                               initialize/partition.sendGlobalMesh.Outer-Fluid-to-Solid |         34 |          0 |         34 |          0 |          1 |
                                                                                         initializeData |       9352 |          0 |       9352 |          0 |          1 |
                                                                         initializeData/m2n.receiveData |         14 |          0 |          1 |          0 |  0.0714286 |
                                                                            initializeData/m2n.sendData |          3 |          0 |          2 |          0 |   0.666667 |
                    initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |       7838 |          0 |       7838 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid.getIndexOnVertices |        214 |          0 |        214 |          0 |          1 |
                           initializeData/map.nn.mapData.FromSolid-to-Outer-FluidToOuter-Fluid-to-Solid |         17 |          0 |         17 |          0 |          1 |
                                                                                         solver.advance |         14 |          0 |         14 |          0 |          1 |
                                                                                      solver.initialize |      21460 |          0 |      21460 |          0 |          1 |
