Run finished at Sat Nov  7 01:54:21 2020
Global runtime       = 22650ms / 22.65s
Number of processors = 1
# Rank: 0

                                                                                 Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |          1 |      22650 |      22650 |      22650 |      22650 |          1 |
                                                                               advance |        113 |      12004 |       7072 |         39 |        106 |       0.53 |
                                                               advance/m2n.receiveData |        113 |         49 |          0 |          0 |          0 |    0.00216 |
                                                                  advance/m2n.sendData |        113 |        572 |         15 |          0 |          5 |     0.0253 |
                               advance/map.np.mapData.FromDirichletNodesToNeumannNodes |        113 |          6 |          0 |          0 |          0 |   0.000265 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |        113 |          6 |          0 |          0 |          0 |   0.000265 |
                                                                             configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          1 |          2 |          2 |          2 |          2 |   8.83e-05 |
                                                                            initialize |          1 |         26 |         26 |         26 |         26 |    0.00115 |
                                           initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   8.83e-05 |
                                             initialize/m2n.exchangeVertexDistribution |          1 |          5 |          5 |          5 |          5 |   0.000221 |
                                                initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   0.000132 |
                                                initialize/m2n.requestSlavesConnection |          1 |          8 |          8 |          8 |          8 |   0.000353 |
                                       initialize/partition.prepareMesh.DirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                        initializeData |          1 |         13 |         13 |         13 |         13 |   0.000574 |
                                                        initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes |          1 |          6 |          6 |          6 |          6 |   0.000265 |
 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
                 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          1 |          2 |          2 |          2 |          2 |   8.83e-05 |
 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          1 |          1 |          1 |          1 |          1 |   4.42e-05 |
                        initializeData/map.np.mapData.FromDirichletNodesToNeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromNeumannNodesToDirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |        113 |       2797 |         40 |         20 |         24 |      0.123 |
                                                                     solver.initialize |          1 |       7797 |       7797 |       7797 |       7797 |      0.344 |


                                                                                  Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |      22650 |          0 |      22650 |          0 |          1 |
                                                                               advance |       7072 |          0 |         39 |          0 | 0.00551471 |
                                                               advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                  advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromDirichletNodesToNeumannNodes |          0 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                                                             configure |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          2 |          0 |          2 |          0 |          1 |
                                                                            initialize |         26 |          0 |         26 |          0 |          1 |
                                           initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                             initialize/m2n.exchangeVertexDistribution |          5 |          0 |          5 |          0 |          1 |
                                                initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                                initialize/m2n.requestSlavesConnection |          8 |          0 |          8 |          0 |          1 |
                                       initialize/partition.prepareMesh.DirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |          0 |          0 |          0 |          0 |          0 |
                                                                        initializeData |         13 |          0 |         13 |          0 |          1 |
                                                        initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes |          6 |          0 |          6 |          0 |          1 |
 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
                 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          2 |          0 |          2 |          0 |          1 |
 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          1 |          0 |          1 |          0 |          1 |
                        initializeData/map.np.mapData.FromDirichletNodesToNeumannNodes |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromNeumannNodesToDirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |         40 |          0 |         20 |          0 |        0.5 |
                                                                     solver.initialize |       7797 |          0 |       7797 |          0 |          1 |
