Run finished at Sat Nov  7 02:03:45 2020
Global runtime       = 49417ms / 49.417s
Number of processors = 1
# Rank: 0

                                                           Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |          1 |      49417 |      49417 |      49417 |      49417 |          1 |
                                                         advance |        301 |      12751 |        114 |         18 |         42 |      0.258 |
                                         advance/m2n.receiveData |        301 |        121 |          1 |          0 |          0 |    0.00245 |
                                            advance/m2n.sendData |        301 |       2268 |         16 |          0 |          7 |     0.0459 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         35 |         35 |         35 |         35 |   0.000708 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |        301 |       1229 |          9 |          2 |          4 |     0.0249 |
                                                       configure |          1 |          3 |          3 |          3 |          3 |   6.07e-05 |
                                                        finalize |          1 |          4 |          4 |          4 |          4 |   8.09e-05 |
                                                      initialize |          1 |        119 |        119 |        119 |        119 |    0.00241 |
                     initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          3 |          3 |          0 |          1 |   6.07e-05 |
                             initialize/m2n.createCommunications |          3 |         39 |         20 |          9 |         13 |   0.000789 |
                       initialize/m2n.exchangeVertexDistribution |          3 |         42 |         20 |         11 |         14 |    0.00085 |
                          initialize/m2n.requestMasterConnection |          1 |          7 |          7 |          7 |          7 |   0.000142 |
                          initialize/m2n.requestSlavesConnection |          1 |         91 |         91 |         91 |         91 |    0.00184 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          1 |          1 |          1 |          1 |   2.02e-05 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |          2 |          2 |          2 |          2 |   4.05e-05 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          2 |          2 |          2 |          2 |   4.05e-05 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          6 |          6 |          6 |          6 |   0.000121 |
                                                  initializeData |          1 |          2 |          2 |          2 |          2 |   4.05e-05 |
                                                  solver.advance |        301 |      36355 |        191 |         70 |        120 |      0.736 |
                                               solver.initialize |          1 |        143 |        143 |        143 |        143 |    0.00289 |


                                                            Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------
                                                         _GLOBAL |      49417 |          0 |      49417 |          0 |          1 |
                                                         advance |        114 |          0 |         18 |          0 |   0.157895 |
                                         advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                            advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
 advance/map.rbf.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |         35 |          0 |         35 |          0 |          1 |
        advance/map.rbf.mapData.FromSolid_meshToFluid-Mesh-Nodes |          9 |          0 |          2 |          0 |   0.222222 |
                                                       configure |          3 |          0 |          3 |          0 |          1 |
                                                        finalize |          4 |          0 |          4 |          0 |          1 |
                                                      initialize |        119 |          0 |        119 |          0 |          1 |
                     initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                            initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |
                             initialize/m2n.createCommunications |         20 |          0 |          9 |          0 |       0.45 |
                       initialize/m2n.exchangeVertexDistribution |         20 |          0 |         11 |          0 |       0.55 |
                          initialize/m2n.requestMasterConnection |          7 |          0 |          7 |          0 |          1 |
                          initialize/m2n.requestSlavesConnection |         91 |          0 |         91 |          0 |          1 |
              initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          1 |          0 |          1 |
                initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.receiveGlobalMesh.Solid_mesh |          2 |          0 |          2 |          0 |          1 |
          initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          2 |          0 |          2 |          0 |          1 |
            initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          6 |          0 |          6 |          0 |          1 |
                                                  initializeData |          2 |          0 |          2 |          0 |          1 |
                                                  solver.advance |        191 |          0 |         70 |          0 |   0.366492 |
                                               solver.initialize |        143 |          0 |        143 |          0 |          1 |
