Run finished at Sat Nov  7 02:10:25 2020
Global runtime       = 60380ms / 60.38s
Number of processors = 1
# Rank: 0

                                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |          1 |      60380 |      60380 |      60380 |      60380 |          1 |
                                                                                       advance |        302 |      58003 |        260 |         11 |        192 |      0.961 |
                                                          advance/cpl.computeQuasiNewtonUpdate |        202 |        825 |         24 |          0 |          4 |     0.0137 |
                                                                       advance/m2n.receiveData |        301 |      53797 |        244 |        141 |        178 |      0.891 |
                                                                          advance/m2n.sendData |        302 |       1243 |         16 |          0 |          4 |     0.0206 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |        301 |         28 |          0 |          0 |          0 |   0.000464 |
                                                                                     configure |          1 |          4 |          4 |          4 |          4 |   6.62e-05 |
                                                                                      finalize |          1 |         81 |         81 |         81 |         81 |    0.00134 |
                                                                                    initialize |          1 |        983 |        983 |        983 |        983 |     0.0163 |
                                                         initialize/m2n.acceptMasterConnection |          1 |        645 |        645 |        645 |        645 |     0.0107 |
                                                         initialize/m2n.acceptSlavesConnection |          1 |         22 |         22 |         22 |         22 |   0.000364 |
                                                   initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          2 |          7 |          5 |          2 |          3 |   0.000116 |
                                                     initialize/m2n.exchangeVertexDistribution |          2 |         13 |          9 |          4 |          6 |   0.000215 |
                                                                    initialize/m2n.receiveData |          1 |        184 |        184 |        184 |        184 |    0.00305 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |         26 |         26 |         26 |         26 |   0.000431 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          1 |          8 |          8 |          8 |          8 |   0.000132 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          1 |          3 |          3 |          3 |          3 |   4.97e-05 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |          1 |         15 |         15 |         15 |         15 |   0.000248 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   1.66e-05 |
                                                                                initializeData |          1 |         12 |         12 |         12 |         12 |   0.000199 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |        302 |       1091 |         12 |          1 |          3 |     0.0181 |
                                                                             solver.initialize |          1 |        185 |        185 |        185 |        185 |    0.00306 |


                                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                       _GLOBAL |      60380 |          0 |      60380 |          0 |          1 |
                                                                                       advance |        260 |          0 |         11 |          0 |  0.0423077 |
                                                          advance/cpl.computeQuasiNewtonUpdate |         24 |          0 |          0 |          0 |          0 |
                                                                       advance/m2n.receiveData |        244 |          0 |        141 |          0 |   0.577869 |
                                                                          advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                     configure |          4 |          0 |          4 |          0 |          1 |
                                                                                      finalize |         81 |          0 |         81 |          0 |          1 |
                                                                                    initialize |        983 |          0 |        983 |          0 |          1 |
                                                         initialize/m2n.acceptMasterConnection |        645 |          0 |        645 |          0 |          1 |
                                                         initialize/m2n.acceptSlavesConnection |         22 |          0 |         22 |          0 |          1 |
                                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.createCommunications |          5 |          0 |          2 |          0 |        0.4 |
                                                     initialize/m2n.exchangeVertexDistribution |          9 |          0 |          4 |          0 |   0.444444 |
                                                                    initialize/m2n.receiveData |        184 |          0 |        184 |          0 |          1 |
                     initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers |         26 |          0 |         26 |          0 |          1 |
 initialize/map.np.computeMapping.FromFluid-Mesh-NodesToSolid-Mesh-Centers.getIndexOnTriangles |          8 |          0 |          8 |          0 |          1 |
                            initialize/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.gatherMesh.Solid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                                           initialize/partition.prepareMesh.Solid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Solid-Mesh-Nodes |          3 |          0 |          3 |          0 |          1 |
                                       initialize/partition.receiveGlobalMesh.Fluid-Mesh-Nodes |         15 |          0 |         15 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Solid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
                                                                                initializeData |         12 |          0 |         12 |          0 |          1 |
                        initializeData/map.np.mapData.FromFluid-Mesh-NodesToSolid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                                                                                solver.advance |         12 |          0 |          1 |          0 |  0.0833333 |
                                                                             solver.initialize |        185 |          0 |        185 |          0 |          1 |
