Run finished at Sat Nov  7 02:15:00 2020
Global runtime       = 78177ms / 78.177s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      78177 |      78177 |      78177 |      78177 |          1 |
                                                                                  advance |        846 |      49646 |         94 |          6 |         58 |      0.635 |
                                                                  advance/m2n.receiveData |        846 |        315 |          0 |          0 |          0 |    0.00403 |
                                                                     advance/m2n.sendData |        846 |       6538 |         16 |          0 |          7 |     0.0836 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |        846 |        104 |          0 |          0 |          0 |    0.00133 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |        846 |         97 |          0 |          0 |          0 |    0.00124 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |         14 |         14 |         14 |         14 |   0.000179 |
                                                                               initialize |          1 |          9 |          9 |          9 |          9 |   0.000115 |
                                              initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.56e-05 |
                                                initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.56e-05 |
                                                   initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   1.28e-05 |
                                                   initialize/m2n.requestSlavesConnection |          1 |          5 |          5 |          5 |          5 |    6.4e-05 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          1 |          1 |          1 |          1 |   1.28e-05 |
                                                                           initializeData |          1 |          8 |          8 |          8 |          8 |   0.000102 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          1 |          3 |          3 |          3 |          3 |   3.84e-05 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          2 |          2 |          2 |          2 |   2.56e-05 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        846 |      28402 |         42 |          1 |         33 |      0.363 |
                                                                        solver.initialize |          1 |         31 |         31 |         31 |         31 |   0.000397 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      78177 |          0 |      78177 |          0 |          1 |
                                                                                  advance |         94 |          0 |          6 |          0 |  0.0638298 |
                                                                  advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |         16 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |         14 |          0 |         14 |          0 |          1 |
                                                                               initialize |          9 |          0 |          9 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |          5 |          0 |          5 |          0 |          1 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          0 |          1 |          0 |          1 |
                                                                           initializeData |          8 |          0 |          8 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes |          3 |          0 |          3 |          0 |          1 |
    initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromFluid_NodesToStructure_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes |          2 |          0 |          2 |          0 |          1 |
    initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.np.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromFluid_NodesToStructure_Nodes |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.np.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         42 |          0 |          1 |          0 |  0.0238095 |
                                                                        solver.initialize |         31 |          0 |         31 |          0 |          1 |
