Run finished at Sat Nov  7 02:15:00 2020
Global runtime       = 78773ms / 78.773s
Number of processors = 1
# Rank: 0

                                               Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
------------------------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |          1 |      78772 |      78772 |      78772 |      78772 |          1 |
                                             advance |        846 |      77460 |        120 |         19 |         91 |      0.983 |
                advance/cpl.computeQuasiNewtonUpdate |        746 |      44191 |         90 |          0 |         59 |      0.561 |
                             advance/m2n.receiveData |        845 |      23963 |         39 |         21 |         28 |      0.304 |
                                advance/m2n.sendData |        846 |       6427 |         15 |          0 |          7 |     0.0816 |
                                           configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          1 |          2 |          2 |          2 |          2 |   2.54e-05 |
                                          initialize |          1 |        612 |        612 |        612 |        612 |    0.00777 |
               initialize/m2n.acceptMasterConnection |          1 |        603 |        603 |        603 |        603 |    0.00765 |
               initialize/m2n.acceptSlavesConnection |          1 |          5 |          5 |          5 |          5 |   6.35e-05 |
         initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          1 |          2 |          2 |          2 |          2 |   2.54e-05 |
           initialize/m2n.exchangeVertexDistribution |          1 |          2 |          2 |          2 |          2 |   2.54e-05 |
     initialize/partition.gatherMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |          1 |         38 |         38 |         38 |         38 |   0.000482 |
                      initializeData/m2n.receiveData |          1 |         37 |         37 |         37 |         37 |    0.00047 |
                         initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |        846 |        605 |          1 |          0 |          0 |    0.00768 |
                                   solver.initialize |          1 |          3 |          3 |          3 |          3 |   3.81e-05 |


                                                Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-----------------------------------------------------------------------------------------------------------------------
                                             _GLOBAL |      78772 |          0 |      78772 |          0 |          1 |
                                             advance |        120 |          0 |         19 |          0 |   0.158333 |
                advance/cpl.computeQuasiNewtonUpdate |         90 |          0 |          0 |          0 |          0 |
                             advance/m2n.receiveData |         39 |          0 |         21 |          0 |   0.538462 |
                                advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                                           configure |          0 |          0 |          0 |          0 |          0 |
                                            finalize |          2 |          0 |          2 |          0 |          1 |
                                          initialize |        612 |          0 |        612 |          0 |          1 |
               initialize/m2n.acceptMasterConnection |        603 |          0 |        603 |          0 |          1 |
               initialize/m2n.acceptSlavesConnection |          5 |          0 |          5 |          0 |          1 |
         initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                 initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
           initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
     initialize/partition.gatherMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.Structure_Nodes |          0 |          0 |          0 |          0 |          0 |
                                      initializeData |         38 |          0 |         38 |          0 |          1 |
                      initializeData/m2n.receiveData |         37 |          0 |         37 |          0 |          1 |
                         initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                      solver.advance |          1 |          0 |          0 |          0 |          0 |
                                   solver.initialize |          3 |          0 |          3 |          0 |          1 |
