Run finished at Sat Nov  7 02:15:50 2020
Global runtime       = 12952ms / 12.952s
Number of processors = 1
# Rank: 0

                                                                                    Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |          1 |      12952 |      12952 |      12952 |      12952 |          1 |
                                                                                  advance |        305 |      11194 |         45 |          3 |         36 |      0.864 |
                                                                  advance/m2n.receiveData |        305 |       6015 |         32 |          0 |         19 |      0.464 |
                                                                     advance/m2n.sendData |        305 |         53 |          1 |          0 |          0 |    0.00409 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |        305 |         10 |          0 |          0 |          0 |   0.000772 |
                                                                                configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          1 |          3 |          3 |          3 |          3 |   0.000232 |
                                                                               initialize |          1 |         21 |         21 |         21 |         21 |    0.00162 |
                                              initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   0.000386 |
                                                initialize/m2n.exchangeVertexDistribution |          2 |          6 |          3 |          3 |          3 |   0.000463 |
                                                   initialize/m2n.requestMasterConnection |          1 |          3 |          3 |          3 |          3 |   0.000232 |
                                                   initialize/m2n.requestSlavesConnection |          1 |         13 |         13 |         13 |         13 |      0.001 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          1 |          1 |          1 |          1 |   7.72e-05 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          1 |          7 |          7 |          7 |          7 |    0.00054 |
                                                           initializeData/m2n.receiveData |          1 |          1 |          1 |          1 |          1 |   7.72e-05 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          1 |          3 |          3 |          3 |          3 |   0.000232 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |        305 |       1705 |         13 |          1 |          5 |      0.132 |
                                                                        solver.initialize |          1 |          7 |          7 |          7 |          7 |    0.00054 |


                                                                                     Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                  _GLOBAL |      12952 |          0 |      12952 |          0 |          1 |
                                                                                  advance |         45 |          0 |          3 |          0 |  0.0666667 |
                                                                  advance/m2n.receiveData |         32 |          0 |          0 |          0 |          0 |
                                                                     advance/m2n.sendData |          1 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                                configure |          0 |          0 |          0 |          0 |          0 |
                                                                                 finalize |          3 |          0 |          3 |          0 |          1 |
                                                                               initialize |         21 |          0 |         21 |          0 |          1 |
                                              initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                     initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                      initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                initialize/m2n.exchangeVertexDistribution |          3 |          0 |          3 |          0 |          1 |
                                                   initialize/m2n.requestMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                                   initialize/m2n.requestSlavesConnection |         13 |          0 |         13 |          0 |          1 |
                                              initialize/partition.gatherMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                             initialize/partition.prepareMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.Structure_Nodes |          1 |          0 |          1 |          0 |          1 |
                                          initialize/partition.sendGlobalMesh.Fluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           initializeData |          7 |          0 |          7 |          0 |          1 |
                                                           initializeData/m2n.receiveData |          1 |          0 |          1 |          0 |          1 |
                    initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes |          3 |          0 |          3 |          0 |          1 |
 initializeData/map.nn.computeMapping.FromStructure_NodesToFluid_Nodes.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromStructure_NodesToFluid_Nodes |          0 |          0 |          0 |          0 |          0 |
                                                                           solver.advance |         13 |          0 |          1 |          0 |  0.0769231 |
                                                                        solver.initialize |          7 |          0 |          7 |          0 |          1 |
