Run finished at Sat Nov  7 02:23:04 2020
Global runtime       = 142638ms / 142.638s
Number of processors = 1
# Rank: 0

                                                                         Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |          1 |     142637 |     142637 |     142637 |     142637 |          1 |
                                                                       advance |        195 |       9563 |         92 |          9 |         49 |      0.067 |
                                                       advance/m2n.receiveData |        195 |         47 |          2 |          0 |          0 |    0.00033 |
                                                          advance/m2n.sendData |        195 |        994 |         14 |          0 |          5 |    0.00697 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          1 |          6 |          6 |          6 |          6 |   4.21e-05 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          1 |          7 |          7 |          7 |          7 |   4.91e-05 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   7.01e-06 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |        195 |         18 |          2 |          0 |          0 |   0.000126 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |        195 |         13 |          0 |          0 |          0 |   9.11e-05 |
                                                                     configure |          1 |          2 |          2 |          2 |          2 |    1.4e-05 |
                                                                      finalize |          1 |         12 |         12 |         12 |         12 |   8.41e-05 |
                                                                    initialize |          1 |         90 |         90 |         90 |         90 |   0.000631 |
                                   initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          1 |          4 |          4 |          4 |          4 |    2.8e-05 |
                                     initialize/m2n.exchangeVertexDistribution |          1 |         13 |         13 |         13 |         13 |   9.11e-05 |
                                        initialize/m2n.requestMasterConnection |          1 |         53 |         53 |         53 |         53 |   0.000372 |
                                        initialize/m2n.requestSlavesConnection |          1 |         20 |         20 |         20 |         20 |    0.00014 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          1 |          1 |          1 |          1 |   7.01e-06 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                solver.advance |        195 |     132657 |       1558 |         21 |        680 |       0.93 |
                                                             solver.initialize |          1 |        290 |        290 |        290 |        290 |    0.00203 |


                                                                          Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
-------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       _GLOBAL |     142637 |          0 |     142637 |          0 |          1 |
                                                                       advance |         92 |          0 |          9 |          0 |  0.0978261 |
                                                       advance/m2n.receiveData |          2 |          0 |          0 |          0 |          0 |
                                                          advance/m2n.sendData |         14 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0 |          6 |          0 |          6 |          0 |          1 |
 advance/map.nn.computeMapping.FromCalculix_MeshToSU2_Mesh0.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh |          7 |          0 |          7 |          0 |          1 |
 advance/map.nn.computeMapping.FromSU2_Mesh0ToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           advance/map.nn.mapData.FromCalculix_MeshToSU2_Mesh0 |          2 |          0 |          0 |          0 |          0 |
                           advance/map.nn.mapData.FromSU2_Mesh0ToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     configure |          2 |          0 |          2 |          0 |          1 |
                                                                      finalize |         12 |          0 |         12 |          0 |          1 |
                                                                    initialize |         90 |          0 |         90 |          0 |          1 |
                                   initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                          initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                           initialize/m2n.createCommunications |          4 |          0 |          4 |          0 |          1 |
                                     initialize/m2n.exchangeVertexDistribution |         13 |          0 |         13 |          0 |          1 |
                                        initialize/m2n.requestMasterConnection |         53 |          0 |         53 |          0 |          1 |
                                        initialize/m2n.requestSlavesConnection |         20 |          0 |         20 |          0 |          1 |
                                    initialize/partition.prepareMesh.SU2_Mesh0 |          1 |          0 |          1 |          0 |          1 |
                          initialize/partition.receiveGlobalMesh.Calculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                solver.advance |       1558 |          0 |         21 |          0 |  0.0134788 |
                                                             solver.initialize |        290 |          0 |        290 |          0 |          1 |
