Run finished at Mon Dec 21 10:31:35 2020
Global runtime       = 23715ms / 23.715s
Number of processors = 1
# Rank: 0

                                                                                 Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |          1 |      23715 |      23715 |      23715 |      23715 |          1 |
                                                                               advance |        112 |      11931 |       7162 |         39 |        106 |      0.503 |
                                                               advance/m2n.receiveData |        112 |         51 |          1 |          0 |          0 |    0.00215 |
                                                                  advance/m2n.sendData |        112 |        366 |         15 |          0 |          3 |     0.0154 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |        112 |          7 |          1 |          0 |          0 |   0.000295 |
                                                                             configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          1 |          2 |          2 |          2 |          2 |   8.43e-05 |
                                                                            initialize |          1 |        888 |        888 |        888 |        888 |     0.0374 |
                                           initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          2 |          4 |          2 |          1 |          2 |   0.000169 |
                                             initialize/m2n.exchangeVertexDistribution |          2 |         19 |         15 |          3 |          9 |   0.000801 |
                                                initialize/m2n.requestMasterConnection |          1 |        849 |        849 |        849 |        849 |     0.0358 |
                                                initialize/m2n.requestSlavesConnection |          1 |         24 |         24 |         24 |         24 |    0.00101 |
                                        initialize/partition.gatherMesh.DirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.DirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |          1 |          2 |          2 |          2 |          2 |   8.43e-05 |
                                    initialize/partition.sendGlobalMesh.DirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                        initializeData |          1 |          9 |          9 |          9 |          9 |    0.00038 |
                                                        initializeData/m2n.receiveData |          1 |          3 |          3 |          3 |          3 |   0.000127 |
                 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          1 |          2 |          2 |          2 |          2 |   8.43e-05 |
 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromNeumannNodesToDirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |        112 |       2828 |         38 |         18 |         25 |      0.119 |
                                                                     solver.initialize |          1 |       8048 |       8048 |       8048 |       8048 |      0.339 |


                                                                                  Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |      23715 |          0 |      23715 |          0 |          1 |
                                                                               advance |       7162 |          0 |         39 |          0 | 0.00544541 |
                                                               advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                                                  advance/m2n.sendData |         15 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |          1 |          0 |          0 |          0 |          0 |
                                                                             configure |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          2 |          0 |          2 |          0 |          1 |
                                                                            initialize |        888 |          0 |        888 |          0 |          1 |
                                           initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          2 |          0 |          1 |          0 |        0.5 |
                                             initialize/m2n.exchangeVertexDistribution |         15 |          0 |          3 |          0 |        0.2 |
                                                initialize/m2n.requestMasterConnection |        849 |          0 |        849 |          0 |          1 |
                                                initialize/m2n.requestSlavesConnection |         24 |          0 |         24 |          0 |          1 |
                                        initialize/partition.gatherMesh.DirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.DirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |          2 |          0 |          2 |          0 |          1 |
                                    initialize/partition.sendGlobalMesh.DirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                                                        initializeData |          9 |          0 |          9 |          0 |          1 |
                                                        initializeData/m2n.receiveData |          3 |          0 |          3 |          0 |          1 |
                 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          2 |          0 |          2 |          0 |          1 |
 initializeData/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromNeumannNodesToDirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |         38 |          0 |         18 |          0 |   0.473684 |
                                                                     solver.initialize |       8048 |          0 |       8048 |          0 |          1 |
