Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  6  6  1  0.1065922205294467  0  
2  8  2  1  0.0323100303881474  0  
3  10  2  1  0.0242405358225247  0  
4  12  2  1  0.0253758082984721  0  
5  14  2  1  0.0245347878709913  0  
6  16  2  1  0.0250932494021106  0  
7  18  2  1  0.0245348092157487  0  
8  20  2  1  0.0248785299851362  0  
9  22  2  1  0.0245397458217278  0  
10  24  2  1  0.0247135365855954  0  
11  26  2  1  0.0244907697314446  0  
12  28  2  1  0.0245922797963588  0  
13  30  2  1  0.0244406335339620  0  
14  32  2  1  0.0245027702403806  0  
15  34  2  1  0.0243961580257419  0  
16  36  2  1  0.0244420942473142  0  
17  38  2  1  0.0243623790774397  0  
18  40  2  1  0.0243867308199137  0  
19  42  2  1  0.0243284750150064  0  
20  44  2  1  0.0243457702566845  0  
21  46  2  1  0.0243039295772206  0  
22  48  2  1  0.0243153248969296  0  
23  50  2  1  0.0242782127971516  0  
24  52  2  1  0.0242889634552929  0  
25  54  2  1  0.0242579492404902  0  
26  56  2  1  0.0242672186153519  0  
27  58  2  1  0.0242404406664432  0  
28  60  2  1  0.0242486807494338  0  
29  62  2  1  0.0242248623676763  0  
30  64  2  1  0.0242324136099455  0  
31  66  2  1  0.0242107099711215  0  
32  68  2  1  0.0242177958026421  0  
33  70  2  1  0.0241976449487091  0  
34  72  2  1  0.0242044091486736  0  
35  74  2  1  0.0241987196394613  0  
36  76  2  1  0.0241974877560724  0  
37  78  2  1  0.0241774117207980  0  
38  80  2  1  0.0241813721165831  0  
39  82  2  1  0.0241630803696549  0  
40  84  2  1  0.0241756833188713  0  
41  86  2  1  0.0241553761608901  0  
42  88  2  1  0.0241603547426085  0  
43  90  2  1  0.0241440700598836  0  
44  92  2  1  0.0241493095473953  0  
45  94  2  1  0.0241339678534937  0  
46  96  2  1  0.0241393226394394  0  
47  98  2  1  0.0241246204388943  0  
48  100  2  1  0.0241300204516562  0  
49  102  2  1  0.0241158503509209  0  
50  104  2  1  0.0241212589389316  0  
51  106  2  1  0.0241075719021018  0  
52  108  2  1  0.0241129621990622  0  
53  110  2  1  0.0240997343655665  0  
54  112  2  1  0.0241050858290005  0  
55  114  2  1  0.0240923025834654  0  
56  116  2  1  0.0240975996372740  0  
57  118  2  1  0.0240852515925489  0  
58  120  2  1  0.0240904804842329  0  
59  122  2  1  0.0240785606275086  0  
60  124  2  1  0.0241025235354073  0  
61  126  2  1  0.0240825236779091  0  
62  128  2  1  0.0240837137254815  0  
63  130  2  1  0.0240703226977927  0  
64  132  2  1  0.0240730557717409  0  
65  134  2  1  0.0240614134307833  0  
66  136  2  1  0.0240645736384041  0  
67  138  2  1  0.0240539537481686  0  
68  140  2  1  0.0240572116750404  0  
69  142  2  1  0.0240562854718440  0  
70  144  2  1  0.0240549953282061  0  
71  146  2  1  0.0240452411012460  0  
72  148  2  1  0.0240488375418933  0  
73  150  2  1  0.0240397518067538  0  
74  152  2  1  0.0240437938621824  0  
75  154  2  1  0.0240352178922571  0  
76  156  2  1  0.0240393301461376  0  
77  158  2  1  0.0240311707648633  0  
78  160  2  1  0.0240352649541607  0  
79  162  2  1  0.0240274660193729  0  
80  164  2  1  0.0240315092326913  0  
81  166  2  1  0.0240240359760689  0  
82  168  2  1  0.0240280132708342  0  
83  170  2  1  0.0240208426649879  0  
84  172  2  1  0.0240247464373033  0  
85  174  2  1  0.0240178608212575  0  
86  176  2  1  0.0240216871544866  0  
87  178  2  1  0.0240150725838372  0  
88  180  2  1  0.0240188202149553  0  
89  182  2  1  0.0240124649204952  0  
90  184  2  1  0.0240161343447898  0  
91  186  2  1  0.0240100278350870  0  
92  188  2  1  0.0240136199938790  0  
93  190  2  1  0.0240077523841368  0  
94  192  2  1  0.0240112687613967  0  
95  194  2  1  0.0240056311282256  0  
96  196  2  1  0.0240090739785876  0  
97  198  2  1  0.0240036582501262  0  
98  200  2  1  0.0240070299464185  0  
99  202  2  1  0.0240018281312681  0  
100  204  2  1  0.0240051308148951  0  
